"year","month","source","value"
1986,7,"in-situ",18.1
1986,8,"in-situ",23
1986,9,"in-situ",19
1987,5,"landsat",13.6429684975692
1987,5,"in-situ",19
1987,7,"in-situ",21
1987,8,"landsat",21.2302260005074
1987,8,"in-situ",21
1989,5,"landsat",7.88061851748193
1989,5,"in-situ",18.3
1989,6,"in-situ",23.4
1989,7,"landsat",24.3520964051484
1989,7,"in-situ",24
1989,8,"landsat",20.658331228491
1989,8,"in-situ",20
1990,6,"landsat",22.5085736005453
1990,6,"in-situ",21.4
1990,8,"landsat",22.3122813280551
1990,8,"in-situ",22.9
1990,10,"landsat",14.0912550139462
1990,10,"in-situ",17.1
1991,5,"landsat",16.3062032311523
1991,5,"in-situ",18.3
1991,6,"in-situ",22.6
1991,7,"landsat",20.3845456305568
1991,7,"in-situ",23.2
1991,8,"landsat",22.7372869321737
1991,8,"in-situ",21.7
1992,5,"landsat",10.2111932292425
1992,5,"in-situ",13.6
1992,7,"in-situ",20.4
1992,8,"landsat",18.1285966894001
1992,8,"in-situ",21.4
1993,5,"landsat",7.29966279053199
1993,5,"in-situ",12.05
1993,6,"landsat",12.5190290717369
1993,6,"in-situ",20
1993,7,"landsat",22.3382360387385
1993,7,"in-situ",21.3
1993,8,"in-situ",22
1993,9,"in-situ",23
1993,10,"landsat",10.0261436568809
1993,10,"in-situ",11.8
1994,6,"in-situ",18.75
1994,7,"in-situ",23.6
1994,8,"landsat",21.247963939048
1994,8,"in-situ",21.3
1994,9,"landsat",16.5200172676685
1994,9,"in-situ",17.35
1995,5,"landsat",6.92361516150605
1995,5,"in-situ",13.8
1995,6,"in-situ",17.2
1995,7,"landsat",24.561339821062
1995,7,"in-situ",23.35
1995,8,"in-situ",23.6
1995,9,"in-situ",18.3
1996,5,"landsat",12.6733697479264
1996,5,"in-situ",13.15
1996,6,"in-situ",21
1996,7,"in-situ",20.2
1996,8,"landsat",21.6269505034261
1996,8,"in-situ",22.75
1996,9,"landsat",18.7124358279425
1996,9,"in-situ",22.75
1996,10,"landsat",13.2852229862896
1996,10,"in-situ",13.15
1997,5,"in-situ",8.5
1997,6,"landsat",20.3674804783664
