"rowid","system:index","cloud_cover","earthsun_d","l_exceltime","pixel_count","sunazi","sunelev","temp_max","temp_mean","temp_median","temp_min","temp_p25","temp_p75","temp_skew","temp_stdDev","vapor_source",".geo","date","month","year","doy","LSmission","freeze_QAQC","temp_spread","spread_QAQC","IQR","IQR_QAQC","temp_med","pred_temp_range","opt_resid_range","calib_range","pred_temp_IQR","opt_resid_IQR","calib_IQR"
1,"1_1_2_1_LT05_013030_19840610",1,1.0153706,30843.6257780556,17134,123.40299391,59.97380875,36.81823388,22.7276681998413,22.4769138136115,19.15390652,21.7412603614607,23.3261611936235,1.60471106217558,1.95808438910305,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1984-06-10,6,"1984",162,"LS 5","P",17.6,"F",1.6,"P",NA,NA,NA,NA,NA,NA,NA
2,"1_1_2_1_LT05_013030_19840930",2,1.001191,30955.6270911458,16247,148.25109242,38.88607488,18.69930986,15.280091505199,15.2188496253202,11.35398488,15.0694226046716,15.6099700204816,-0.27398860886665,0.428176921744443,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1984-09-30,9,"1984",274,"LS 5","P",7.3,"P",0.5,"P",NA,NA,NA,NA,NA,NA,NA
3,"1_1_2_1_LT05_013030_19841016",1,0.99661,30971.6270614468,17134,152.29110037,33.64286919,19.0479479000001,13.4184331521937,13.3979608399984,12.22557998,13.2544039999995,13.3979608399984,2.36229013693611,0.715381776506568,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1984-10-16,10,"1984",290,"LS 5","P",6.8,"P",0.0999999999999996,"P",NA,NA,NA,NA,NA,NA,NA
4,"1_1_2_1_LT05_013030_19850901",5,1.0090483,31291.6266353125,17134,138.26796797,47.82221671,24.15105176,18.5627750678063,18.6433211149677,16.08110654,18.1353831349899,19.1496938062511,-0.606992303466576,0.733842220447565,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1985-09-01,9,"1985",244,"LS 5","P",8.1,"P",1,"P",NA,NA,NA,NA,NA,NA,NA
5,"1_1_2_1_LT05_013030_19850917",6,1.0049189,31307.6264857292,17128,143.90113999,43.06969196,23.05728536,17.7536827263908,17.7943425034785,15.93413168,17.655145604273,17.8026059051356,1.66264596363529,0.559409266660729,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1985-09-17,9,"1985",260,"LS 5","P",7.2,"P",0.100000000000001,"P",NA,NA,NA,NA,NA,NA,NA
6,"1_1_2_1_LT05_013030_19851120",36,0.9879325,31371.6259206597,14663,155.80005918,23.4112888,16.83990698,8.78931509999795,8.72584845089372,7.27286900000001,8.13172958928937,8.85618471559772,2.21589918953639,1.18392933401997,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1985-11-20,11,"1985",324,"LS 5","P",9.5,"P",0.800000000000001,"P",NA,NA,NA,NA,NA,NA,NA
7,"1_1_2_1_LT05_013030_19860515",41,1.0109716,31547.6233054282,17134,128.12862104,56.60322024,21.45081596,11.4077201202591,11.1862789840443,5.20496690000004,10.1858275142658,12.3274166577673,1.0116313759133,1.7761334210593,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1986-05-15,5,"1986",135,"LS 5","P",16.3,"F",2.1,"P",NA,NA,NA,NA,NA,NA,NA
8,"1_1_2_1_LT05_013030_19860616",18,1.0159089,31579.6226424769,5954,120.95460218,59.22855633,8.35979936000001,-32.1074149728144,-32.1674766138942,-60.69787672,-41.4331184836635,-23.0725748615009,0.0815167547945727,11.5956515216468,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1986-06-16,6,"1986",167,"LS 5","F",69.1,"F",18.3,"F",NA,NA,NA,NA,NA,NA,NA
9,"1_1_2_1_LT05_013030_19860718",28,1.0162754,31611.6219029977,10416,121.80262911,56.47480656,29.92750556,20.5141170547346,20.7260709968906,17.2876676,19.308951872717,21.5697696782376,0.572646155660041,1.40587538509021,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1986-07-18,7,"1986",199,"LS 5","P",12.6,"F",2.3,"P",NA,NA,NA,NA,NA,NA,NA
10,"1_1_2_1_LT05_013030_19861022",4,0.9950896,31707.61961,17053,150.39049325,30.89778213,13.93117196,8.87415309969315,8.75535053788481,6.22353686000002,8.62071081511869,9.24307667372696,0.119459223419996,0.897211027049774,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1986-10-22,10,"1986",295,"LS 5","P",7.7,"P",0.6,"P",NA,NA,NA,NA,NA,NA,NA
