,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,frequency,month,datetime_ms
3545,2014-11-20 10:15:00,43.3913,-72.0576,loon,1.5,6.9780000000000015,edi.500.2,sub-daily,11,1416496500000.0
3546,2014-11-20 10:30:00,43.3913,-72.0576,loon,1.5,6.9780000000000015,edi.500.2,sub-daily,11,1416497400000.0
3547,2014-11-20 10:45:00,43.3913,-72.0576,loon,1.5,6.775,edi.500.2,sub-daily,11,1416498300000.0
3548,2014-11-20 11:00:00,43.3913,-72.0576,loon,1.5,6.775,edi.500.2,sub-daily,11,1416499200000.0
221911,2014-11-20 10:10:00,43.3857,-72.0812,harbor,1.5,6.94,edi.499.2,sub-daily,11,1416496200000.0
221912,2014-11-20 10:20:00,43.3857,-72.0812,harbor,1.5,6.96,edi.499.2,sub-daily,11,1416496800000.0
221913,2014-11-20 10:30:00,43.3857,-72.0812,harbor,1.5,6.9700000000000015,edi.499.2,sub-daily,11,1416497400000.0
221914,2014-11-20 10:40:00,43.3857,-72.0812,harbor,1.5,6.96,edi.499.2,sub-daily,11,1416498000000.0
221915,2014-11-20 10:50:00,43.3857,-72.0812,harbor,1.5,6.99,edi.499.2,sub-daily,11,1416498600000.0
221916,2014-11-20 11:00:00,43.3857,-72.0812,harbor,1.5,7.01,edi.499.2,sub-daily,11,1416499200000.0
