,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,frequency,month,datetime_ms
104498,2010-09-06 10:00:00,43.3913,-72.0576,loon,1.0,19.34,edi.499.2,sub-daily,9,1283785200000.0
104499,2010-09-06 10:10:00,43.3913,-72.0576,loon,1.0,19.34,edi.499.2,sub-daily,9,1283785800000.0
104500,2010-09-06 10:20:00,43.3913,-72.0576,loon,1.0,19.4,edi.499.2,sub-daily,9,1283786400000.0
104501,2010-09-06 10:30:00,43.3913,-72.0576,loon,1.0,19.4,edi.499.2,sub-daily,9,1283787000000.0
104502,2010-09-06 10:40:00,43.3913,-72.0576,loon,1.0,19.43,edi.499.2,sub-daily,9,1283787600000.0
104503,2010-09-06 10:50:00,43.3913,-72.0576,loon,1.0,19.459999999999994,edi.499.2,sub-daily,9,1283788200000.0
383155,2010-09-06 10:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.5,20.48,edi.498.1,sub-daily,9,1283785200000.0
417950,2010-09-06 10:00:00,43.3446,-72.0438,SouthOfTheFells,1.5,21.130000000000006,edi.498.1,sub-daily,9,1283785200000.0
452745,2010-09-06 10:00:00,43.3235,-72.0411,Newbury,1.5,21.66,edi.498.1,sub-daily,9,1283785200000.0
487540,2010-09-06 10:00:00,43.4096,-72.0365,HerrickCoveSouth,1.5,21.34,edi.498.1,sub-daily,9,1283785200000.0
