,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_ms
226491,2015-07-02 15:10:00,43.3913,-72.0576,loon,1.5,20.57,edi.499.2,7,1435849800000.0
226492,2015-07-02 15:20:00,43.3913,-72.0576,loon,1.5,20.57,edi.499.2,7,1435850400000.0
226493,2015-07-02 15:30:00,43.3913,-72.0576,loon,1.5,20.57,edi.499.2,7,1435851000000.0
226494,2015-07-02 15:40:00,43.3913,-72.0576,loon,1.5,20.57,edi.499.2,7,1435851600000.0
226495,2015-07-02 15:50:00,43.3913,-72.0576,loon,1.5,20.57,edi.499.2,7,1435852200000.0
226496,2015-07-02 16:00:00,43.3913,-72.0576,loon,1.5,20.58,edi.499.2,7,1435852800000.0
395744,2015-07-02 16:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.4,20.17,edi.498.1,7,1435852800000.0
430539,2015-07-02 16:00:00,43.3446,-72.0438,SouthOfTheFells,1.4,19.52,edi.498.1,7,1435852800000.0
465334,2015-07-02 16:00:00,43.3235,-72.0411,Newbury,1.5,18.23,edi.498.1,7,1435852800000.0
500129,2015-07-02 16:00:00,43.4096,-72.0365,HerrickCoveSouth,1.4,20.32,edi.498.1,7,1435852800000.0
