,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_ms
96464,2010-07-12 15:00:00,43.3913,-72.0576,loon,1.0,25.59,edi.499.2,7,1278946800000.0
96465,2010-07-12 15:10:00,43.3913,-72.0576,loon,1.0,25.56,edi.499.2,7,1278947400000.0
96466,2010-07-12 15:20:00,43.3913,-72.0576,loon,1.0,25.58,edi.499.2,7,1278948000000.0
96467,2010-07-12 15:30:00,43.3913,-72.0576,loon,1.0,25.61000000000001,edi.499.2,7,1278948600000.0
96468,2010-07-12 15:40:00,43.3913,-72.0576,loon,1.0,25.59,edi.499.2,7,1278949200000.0
96469,2010-07-12 15:50:00,43.3913,-72.0576,loon,1.0,25.59,edi.499.2,7,1278949800000.0
381816,2010-07-12 15:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.5,25.56,edi.498.1,7,1278946800000.0
416611,2010-07-12 15:00:00,43.3446,-72.0438,SouthOfTheFells,1.5,24.16,edi.498.1,7,1278946800000.0
451406,2010-07-12 15:00:00,43.3235,-72.0411,Newbury,1.5,25.07,edi.498.1,7,1278946800000.0
486201,2010-07-12 15:00:00,43.4096,-72.0365,HerrickCoveSouth,1.5,25.59,edi.498.1,7,1278946800000.0
