,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_ms
93008,2010-06-18 15:00:00,43.3913,-72.0576,loon,1.0,19.52,edi.499.2,6,1276873200000.0
93009,2010-06-18 15:10:00,43.3913,-72.0576,loon,1.0,19.51,edi.499.2,6,1276873800000.0
93010,2010-06-18 15:20:00,43.3913,-72.0576,loon,1.0,19.52,edi.499.2,6,1276874400000.0
93011,2010-06-18 15:30:00,43.3913,-72.0576,loon,1.0,19.52,edi.499.2,6,1276875000000.0
93012,2010-06-18 15:40:00,43.3913,-72.0576,loon,1.0,19.52,edi.499.2,6,1276875600000.0
93013,2010-06-18 15:50:00,43.3913,-72.0576,loon,1.0,19.57,edi.499.2,6,1276876200000.0
381240,2010-06-18 15:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.5,17.89,edi.498.1,6,1276873200000.0
416035,2010-06-18 15:00:00,43.3446,-72.0438,SouthOfTheFells,1.5,17.56,edi.498.1,6,1276873200000.0
450830,2010-06-18 15:00:00,43.3235,-72.0411,Newbury,1.5,17.91,edi.498.1,6,1276873200000.0
485625,2010-06-18 15:00:00,43.4096,-72.0365,HerrickCoveSouth,1.5,18.09,edi.498.1,6,1276873200000.0
