,system:index,azimuth,cloud_cover,elev,emiss,esd,l_exceltime,landsat_time,pct_lake,pixel_count,surface_temp_kurtosis,surface_temp_max,surface_temp_mean,surface_temp_median,surface_temp_min,surface_temp_stdDev,sza,v_exceltime,vapor_time,water_column,.geo,landsat_time_utc,scene,temp_avg,t_stdev,depth_avg,d_stdev,temp_med,insitu_count,HerrickCoveSouth_median,HerrickCoveSouth_mean,HerrickCoveSouth_std,HerrickCoveSouth_count,Newbury_median,Newbury_mean,Newbury_std,Newbury_count,NorthSunapeeHarbor_median,NorthSunapeeHarbor_mean,NorthSunapeeHarbor_std,NorthSunapeeHarbor_count,SouthOfTheFells_median,SouthOfTheFells_mean,SouthOfTheFells_std,SouthOfTheFells_count,loon_median,loon_mean,loon_std,loon_count,harbor_median,harbor_mean,harbor_std,harbor_count,GeorgesMills_median,GeorgesMills_mean,GeorgesMills_std,GeorgesMills_count,HerrickCove_median,HerrickCove_mean,HerrickCove_std,HerrickCove_count,StateBeach_median,StateBeach_mean,StateBeach_std,StateBeach_count
0,1_1_2_1_LT05_013030_20060911,149.88599,3.0,47.447520000000004,0.977941145456293,1.0066447,38971.643497916666,1157988398220.0,0.9937663850859306,17058,7.414460293236583,17.03007534102991,13.27335891018108,13.313600819778602,6.001555611453531,0.8680814600510061,42.5524787902832,38971.75,1157997600000,0.9399993896484377,"{""type"":""MultiPoint"",""coordinates"":[]}",2006-09-11 15:26:38.220000+00:00,LT05_013030_20060911,18.77,,1.5,,18.77,1.0,18.77,18.77,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1_1_2_1_LT05_013030_20070712,131.9993,15.0,61.91174,0.977941145456293,1.0165832000000001,39275.64346875,1184253995700.0,0.7090591319545587,12171,5.274891513903668,25.859177958399396,17.644985457060866,17.941964120211136,9.96018119245968,1.1472961492837153,28.08826065063477,39275.75,1184263200000,1.5,"{""type"":""MultiPoint"",""coordinates"":[]}",2007-07-12 15:26:35.700000+00:00,LT05_013030_20070712,21.11,0.50616202939375,1.5,0.0,20.965,4.0,21.84,21.84,,1.0,20.67,20.67,,1.0,20.97,20.97,,1.0,20.96,20.96,,1.0,,,,,,,,,,,,,,,,,,,,
11,1_2_1_LE07_013030_20070805,135.72513,0.0,57.131466,0.977941145456293,1.0144331,39299.64096736111,1186327379580.0,0.8592484707253132,14749,5.710858138366191,24.89884220088296,21.373875496877485,21.32101622764525,18.700034704481045,0.3517000784055358,32.86853408813477,39299.75,1186336800000,1.4600006103515626,"{""type"":""MultiPoint"",""coordinates"":[]}",2007-08-05 15:22:59.580000+00:00,LE07_013030_20070805,24.880000000000003,0.5266877632905476,1.5,0.0,24.965,4.0,25.07,25.07,,1.0,25.42,25.42,,1.0,24.17,24.17,,1.0,24.86,24.86,,1.0,,,,,,,,,,,,,,,,,,,,
12,1_1_2_1_LT05_013030_20070813,139.75162,49.0,55.791782,0.977941145456293,1.0131619,39307.64324513889,1187018776380.0,0.8987474512088552,15427,4.930477597269798,22.83831930897109,18.782616129696827,18.8466403211777,15.18637867362453,0.5493807754491373,34.20821762084961,39307.75,1187028000000,1.470001220703125,"{""type"":""MultiPoint"",""coordinates"":[]}",2007-08-13 15:26:16.380000+00:00,LT05_013030_20070813,23.752500000000005,0.37739236876227467,1.5,0.0,23.745,4.0,24.21,24.21,,1.0,23.85,23.85,,1.0,23.31,23.31,,1.0,23.64,23.64,,1.0,,,,,,,,,,,,,,,,,,,,
13,1_1_2_1_LT05_013030_20070914,150.54677,30.0,46.49819,0.977941145456293,1.0059195,39339.643047453705,1189783559300.0,1.0,17165,5.083869380751223,19.747190788273613,16.37858814022105,16.572251069491358,15.649854870331378,0.33202087817775994,43.501808166503906,39339.75,1189792800000,2.0899993896484377,"{""type"":""MultiPoint"",""coordinates"":[]}",2007-09-14 15:25:59.300000+00:00,LT05_013030_20070914,19.508000000000003,0.19469634476966116,0.9,0.5163977794943222,19.59,10.0,19.71,19.71,,1.0,19.37,19.37,,1.0,19.18,19.18,,1.0,19.18,19.18,,1.0,19.62,19.606666666666666,0.03932768321000832,6.0,,,,,,,,,,,,,,,,
14,1_2_1_LE07_013030_20071125,161.08498,37.0,23.810648,0.977941145456293,0.9871101000000001,39411.64103900463,1196004185770.0,0.8699096999708709,14932,4.849257833807627,4.0106722629509735,2.439088482904045,2.17854586399757,-2.8784248150935943,0.6580130081617571,66.18935203552246,39411.75,1196013600000,1.05,"{""type"":""MultiPoint"",""coordinates"":[]}",2007-11-25 15:23:05.770000+00:00,LE07_013030_20071125,5.8,0.024494897427831626,0.5,0.0,5.81,6.0,,,,,,,,,,,,,,,,,5.81,5.8,0.02449489742783205,6.0,,,,,,,,,,,,,,,,
15,1_1_2_1_LT05_013030_20080511,137.91458,0.0,59.173995999999995,0.977941145456293,1.0101572,39579.639940277775,1210519290840.0,1.0,17165,4.804170159639588,19.295066844548753,9.489422280959902,8.98436977820281,7.503188572177316,1.3814907837934791,30.82600402832031,39579.75,1210528800000,0.7399993896484376,"{""type"":""MultiPoint"",""coordinates"":[]}",2008-05-11 15:21:30.840000+00:00,LT05_013030_20080511,10.456666666666667,0.3565202191554734,0.5,0.0,10.475,6.0,,,,,,,,,,,,,,,,,10.475,10.456666666666667,0.3565202191554736,6.0,,,,,,,,,,,,,,,,
16,1_1_2_1_LT05_013030_20080527,133.74326000000002,48.0,61.824757,0.977941145456293,1.0133471,39595.639646875,1211901665490.0,0.2707253131371978,4647,2.4984463637837573,21.079282996398863,12.51677373090268,12.365336831895428,7.502782239456737,1.519699722112415,28.17524337768555,39595.75,1211911200000,1.329998779296875,"{""type"":""MultiPoint"",""coordinates"":[]}",2008-05-27 15:21:05.490000+00:00,LT05_013030_20080527,12.74,0.030983866769659134,0.5,0.0,12.73,6.0,,,,,,,,,,,,,,,,,12.73,12.74,0.030983866769659016,6.0,,,,,,,,,,,,,,,,
17,1_1_2_1_LT05_013030_20080612,130.20898,1.0,62.82824300000001,0.977941145456293,1.015551,39611.639347800934,1213284039650.0,1.0,17165,2.422834982929582,23.70334005463017,17.47507284927664,17.486266821747915,15.186463303786946,0.8095399940582216,27.17175674438477,39611.75,1213293600000,0.5600006103515626,"{""type"":""MultiPoint"",""coordinates"":[]}",2008-06-12 15:20:39.650000+00:00,LT05_013030_20080612,20.23,0.03847076812334242,0.5,0.0,20.225,6.0,,,,,,,,,,,,,,,,,20.225,20.23,0.038470768123341714,6.0,,,,,,,,,,,,,,,,
18,1_2_1_LE07_013030_20080706,129.53622,27.0,61.854122,0.977941145456293,1.0166966999999998,39635.640555555554,1215357744000.0,0.8389163996504515,14400,4.77093078557197,25.91262272877325,20.426319396139654,20.282244421992488,16.561298746532668,0.7099998885156232,28.14587783813477,39635.75,1215367200000,2.0899993896484377,"{""type"":""MultiPoint"",""coordinates"":[]}",2008-07-06 15:22:24+00:00,LE07_013030_20080706,22.767000000000003,0.573605555528652,0.9,0.5163977794943222,22.89,10.0,22.84,22.84,,1.0,21.66,21.66,,1.0,22.47,22.47,,1.0,21.96,21.96,,1.0,23.165,23.123333333333335,0.21407163909931365,6.0,,,,,,,,,,,,,,,,
