,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_ms
237040,2015-09-04 15:10:00,43.3913,-72.0576,loon,1.5,24.1,edi.499.2,9,1441379400000.0
237041,2015-09-04 15:15:00,43.3913,-72.0576,loon,0.5,24.158,edi.499.2,9,1441379700000.0
237042,2015-09-04 15:20:00,43.3913,-72.0576,loon,1.5,24.1,edi.499.2,9,1441380000000.0
237043,2015-09-04 15:30:00,43.3913,-72.0576,loon,0.5,24.062,edi.499.2,9,1441380600000.0
237044,2015-09-04 15:40:00,43.3913,-72.0576,loon,1.5,24.1,edi.499.2,9,1441381200000.0
237045,2015-09-04 15:45:00,43.3913,-72.0576,loon,0.5,23.966,edi.499.2,9,1441381500000.0
237046,2015-09-04 15:50:00,43.3913,-72.0576,loon,1.5,24.1,edi.499.2,9,1441381800000.0
237047,2015-09-04 16:00:00,43.3913,-72.0576,loon,0.5,23.966,edi.499.2,9,1441382400000.0
397280,2015-09-04 16:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.4,23.49,edi.498.1,9,1441382400000.0
432075,2015-09-04 16:00:00,43.3446,-72.0438,SouthOfTheFells,1.4,23.83,edi.498.1,9,1441382400000.0
466870,2015-09-04 16:00:00,43.3235,-72.0411,Newbury,1.5,23.68,edi.498.1,9,1441382400000.0
501665,2015-09-04 16:00:00,43.4096,-72.0365,HerrickCoveSouth,1.4,23.31,edi.498.1,9,1441382400000.0
