,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_utc,dt_delta,delta_secs
1241,2014-10-27 10:15:00,43.3913,-72.0576,loon,1.5,12.69,edi.500.2,10,2014-10-27 15:15:00+00:00,0 days 00:16:00.160000,960
1242,2014-10-27 10:30:00,43.3913,-72.0576,loon,1.5,12.69,edi.500.2,10,2014-10-27 15:30:00+00:00,0 days 00:01:00.160000,60
1243,2014-10-27 10:45:00,43.3913,-72.0576,loon,1.5,12.69,edi.500.2,10,2014-10-27 15:45:00+00:00,-1 days +23:46:00.160000,-840
1244,2014-10-27 11:00:00,43.3913,-72.0576,loon,1.5,12.69,edi.500.2,10,2014-10-27 16:00:00+00:00,-1 days +23:31:00.160000,-1740
218459,2014-10-27 10:10:00,43.3857,-72.0812,harbor,1.5,12.47,edi.499.2,10,2014-10-27 15:10:00+00:00,0 days 00:21:00.160000,1260
218460,2014-10-27 10:20:00,43.3857,-72.0812,harbor,1.5,12.49,edi.499.2,10,2014-10-27 15:20:00+00:00,0 days 00:11:00.160000,660
218461,2014-10-27 10:30:00,43.3857,-72.0812,harbor,1.5,12.49,edi.499.2,10,2014-10-27 15:30:00+00:00,0 days 00:01:00.160000,60
218462,2014-10-27 10:40:00,43.3857,-72.0812,harbor,1.5,12.48,edi.499.2,10,2014-10-27 15:40:00+00:00,-1 days +23:51:00.160000,-540
218463,2014-10-27 10:50:00,43.3857,-72.0812,harbor,1.5,12.5,edi.499.2,10,2014-10-27 15:50:00+00:00,-1 days +23:41:00.160000,-1140
218464,2014-10-27 11:00:00,43.3857,-72.0812,harbor,1.5,12.51,edi.499.2,10,2014-10-27 16:00:00+00:00,-1 days +23:31:00.160000,-1740
