,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_ms
235504,2015-08-27 15:10:00,43.3913,-72.0576,loon,1.5,24.1,edi.499.2,8,1440688200000.0
235505,2015-08-27 15:15:00,43.3913,-72.0576,loon,0.5,24.255,edi.499.2,8,1440688500000.0
235506,2015-08-27 15:20:00,43.3913,-72.0576,loon,1.5,24.1,edi.499.2,8,1440688800000.0
235507,2015-08-27 15:30:00,43.3913,-72.0576,loon,0.5,24.255,edi.499.2,8,1440689400000.0
235508,2015-08-27 15:40:00,43.3913,-72.0576,loon,1.5,24.1,edi.499.2,8,1440690000000.0
235509,2015-08-27 15:45:00,43.3913,-72.0576,loon,0.5,24.351000000000006,edi.499.2,8,1440690300000.0
235510,2015-08-27 15:50:00,43.3913,-72.0576,loon,1.5,24.1,edi.499.2,8,1440690600000.0
235511,2015-08-27 16:00:00,43.3913,-72.0576,loon,0.5,24.448,edi.499.2,8,1440691200000.0
397088,2015-08-27 16:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.4,24.35,edi.498.1,8,1440691200000.0
431883,2015-08-27 16:00:00,43.3446,-72.0438,SouthOfTheFells,1.4,22.98,edi.498.1,8,1440691200000.0
466678,2015-08-27 16:00:00,43.3235,-72.0411,Newbury,1.5,23.33,edi.498.1,8,1440691200000.0
501473,2015-08-27 16:00:00,43.4096,-72.0365,HerrickCoveSouth,1.4,24.34,edi.498.1,8,1440691200000.0
