,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_ms
212737,2014-09-17 15:10:00,43.3913,-72.0576,loon,1.5,19.22,edi.499.2,9,1410966600000.0
212738,2014-09-17 15:20:00,43.3913,-72.0576,loon,0.5,19.01,edi.499.2,9,1410967200000.0
212739,2014-09-17 15:30:00,43.3913,-72.0576,loon,0.5,19.01,edi.499.2,9,1410967800000.0
212740,2014-09-17 15:40:00,43.3913,-72.0576,loon,1.5,19.16,edi.499.2,9,1410968400000.0
212741,2014-09-17 15:50:00,43.3913,-72.0576,loon,0.5,18.95,edi.499.2,9,1410969000000.0
212742,2014-09-17 16:00:00,43.3913,-72.0576,loon,0.5,19.01,edi.499.2,9,1410969600000.0
394907,2014-09-17 16:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.2,14.57,edi.498.1,9,1410969600000.0
429702,2014-09-17 16:00:00,43.3446,-72.0438,SouthOfTheFells,1.4,15.05,edi.498.1,9,1410969600000.0
464497,2014-09-17 16:00:00,43.3235,-72.0411,Newbury,1.4,18.39,edi.498.1,9,1410969600000.0
499292,2014-09-17 16:00:00,43.4096,-72.0365,HerrickCoveSouth,1.5,18.66,edi.498.1,9,1410969600000.0
