,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_ms
149514,2012-06-15 15:00:00,43.3913,-72.0576,loon,0.5,20.58,edi.499.2,6,1339772400000.0
149515,2012-06-15 15:10:00,43.3913,-72.0576,loon,0.5,20.650000000000006,edi.499.2,6,1339773000000.0
149516,2012-06-15 15:20:00,43.3913,-72.0576,loon,0.5,20.650000000000006,edi.499.2,6,1339773600000.0
149517,2012-06-15 15:30:00,43.3913,-72.0576,loon,0.5,20.77,edi.499.2,6,1339774200000.0
149518,2012-06-15 15:40:00,43.3913,-72.0576,loon,0.5,20.97,edi.499.2,6,1339774800000.0
149519,2012-06-15 15:50:00,43.3913,-72.0576,loon,0.5,20.97,edi.499.2,6,1339775400000.0
386759,2012-06-15 15:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.5,19.99,edi.498.1,6,1339772400000.0
421554,2012-06-15 15:00:00,43.3446,-72.0438,SouthOfTheFells,1.3,19.5,edi.498.1,6,1339772400000.0
456349,2012-06-15 15:00:00,43.3235,-72.0411,Newbury,1.2,20.34,edi.498.1,6,1339772400000.0
491144,2012-06-15 15:00:00,43.4096,-72.0365,HerrickCoveSouth,1.2,19.38,edi.498.1,6,1339772400000.0
