,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_ms
61082,2008-09-16 14:50:00,43.3913,-72.0576,loon,0.5,19.8,edi.499.2,9,1221576600000.0
61083,2008-09-16 15:00:00,43.3913,-72.0576,loon,0.5,19.81,edi.499.2,9,1221577200000.0
61084,2008-09-16 15:10:00,43.3913,-72.0576,loon,0.5,19.91,edi.499.2,9,1221577800000.0
61085,2008-09-16 15:20:00,43.3913,-72.0576,loon,0.5,19.87,edi.499.2,9,1221578400000.0
61086,2008-09-16 15:30:00,43.3913,-72.0576,loon,0.5,19.86,edi.499.2,9,1221579000000.0
61087,2008-09-16 15:40:00,43.3913,-72.0576,loon,0.5,19.89,edi.499.2,9,1221579600000.0
374809,2008-09-16 15:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.5,19.51,edi.498.1,9,1221577200000.0
409604,2008-09-16 15:00:00,43.3446,-72.0438,SouthOfTheFells,1.5,20.31,edi.498.1,9,1221577200000.0
444399,2008-09-16 15:00:00,43.3235,-72.0411,Newbury,1.5,19.37,edi.498.1,9,1221577200000.0
479194,2008-09-16 15:00:00,43.4096,-72.0365,HerrickCoveSouth,1.5,20.03,edi.498.1,9,1221577200000.0
