,system:index,azimuth,cloud_cover,elev,emiss,esd,l_exceltime,landsat_time,pct_lake,pixel_count,surface_temp_kurtosis,surface_temp_max,surface_temp_mean,surface_temp_median,surface_temp_min,surface_temp_stdDev,sza,v_exceltime,vapor_time,water_column,.geo,landsat_time_utc,scene,temp_avg,t_stdev,depth_avg,d_stdev,temp_med,insitu_count,HerrickCoveSouth_median,HerrickCoveSouth_mean,HerrickCoveSouth_std,HerrickCoveSouth_count,Newbury_median,Newbury_mean,Newbury_std,Newbury_count,NorthSunapeeHarbor_median,NorthSunapeeHarbor_mean,NorthSunapeeHarbor_std,NorthSunapeeHarbor_count,SouthOfTheFells_median,SouthOfTheFells_mean,SouthOfTheFells_std,SouthOfTheFells_count,loon_median,loon_mean,loon_std,loon_count,harbor_median,harbor_mean,harbor_std,harbor_count,GeorgesMills_median,GeorgesMills_mean,GeorgesMills_std,GeorgesMills_count,HerrickCove_median,HerrickCove_mean,HerrickCove_std,HerrickCove_count,StateBeach_median,StateBeach_mean,StateBeach_std,StateBeach_count
0,1_1_2_1_LT05_013030_20060911,149.88599,3.0,47.44752,0.977941145456293,1.0066447,38971.643497916666,1157988398220.0,0.9865423827556072,16934,6.901276495079491,17.03007534102991,13.286824796303575,13.313600819778609,6.001555611453531,0.8339950343102991,42.5524787902832,38971.75,1157997600000,0.9399993896484377,"{""type"":""MultiPoint"",""coordinates"":[]}",2006-09-11 15:26:38.220000+00:00,LT05_013030_20060911,18.77,,1.5,,18.77,1.0,18.77,18.77,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1_1_2_1_LT05_013030_20070712,131.9993,15.0,61.91174,0.977941145456293,1.0165832,39275.64346875,1184253995700.0,0.4873288668802796,8365,9.21764488021016,25.859177958399396,18.07875229214584,17.9419641202111,14.25349739642418,0.6704639597482088,28.08826065063477,39275.75,1184263200000,1.5,"{""type"":""MultiPoint"",""coordinates"":[]}",2007-07-12 15:26:35.700000+00:00,LT05_013030_20070712,21.11,0.50616202939375,1.5,0.0,20.965,4.0,21.84,21.84,,1.0,20.67,20.67,,1.0,20.97,20.97,,1.0,20.96,20.96,,1.0,,,,,,,,,,,,,,,,,,,,
11,1_2_1_LE07_013030_20070805,135.72513,0.0,57.131466,0.977941145456293,1.0144331,39299.64096736111,1186327379580.0,0.8592484707253132,14749,5.710858138366191,24.89884220088296,21.373875496877485,21.32101622764525,18.700034704481045,0.3517000784055358,32.868534088134766,39299.75,1186336800000,1.4600006103515626,"{""type"":""MultiPoint"",""coordinates"":[]}",2007-08-05 15:22:59.580000+00:00,LE07_013030_20070805,24.880000000000003,0.5266877632905476,1.5,0.0,24.965,4.0,25.07,25.07,,1.0,25.42,25.42,,1.0,24.17,24.17,,1.0,24.86,24.86,,1.0,,,,,,,,,,,,,,,,,,,,
12,1_1_2_1_LT05_013030_20070813,139.75162,49.0,55.791782,0.977941145456293,1.0131619,39307.64324513889,1187018776380.0,0.7916108360034955,13588,5.622971865578355,22.83831930897109,18.84234788445174,18.84664032117797,15.18637867362453,0.4953350496984985,34.20821762084961,39307.75,1187028000000,1.470001220703125,"{""type"":""MultiPoint"",""coordinates"":[]}",2007-08-13 15:26:16.380000+00:00,LT05_013030_20070813,23.752500000000005,0.37739236876227467,1.5,0.0,23.745,4.0,24.21,24.21,,1.0,23.85,23.85,,1.0,23.31,23.31,,1.0,23.64,23.64,,1.0,,,,,,,,,,,,,,,,,,,,
13,1_1_2_1_LT05_013030_20070914,150.54677,30.0,46.49819,0.977941145456293,1.0059195,39339.643047453705,1189783559300.0,0.9995339353335276,17157,5.093384484450587,19.747190788273613,16.378878787082872,16.572251069491358,15.649854870331378,0.3318694603366951,43.50180816650391,39339.75,1189792800000,2.0899993896484377,"{""type"":""MultiPoint"",""coordinates"":[]}",2007-09-14 15:25:59.300000+00:00,LT05_013030_20070914,19.508000000000003,0.19469634476966116,0.9,0.5163977794943222,19.59,10.0,19.71,19.71,,1.0,19.37,19.37,,1.0,19.18,19.18,,1.0,19.18,19.18,,1.0,19.62,19.606666666666666,0.03932768321000832,6.0,,,,,,,,,,,,,,,,
14,1_2_1_LE07_013030_20071125,161.08498,37.0,23.810648,0.977941145456293,0.9871101,39411.64103900463,1196004185770.0,0.869909699970871,14932,4.849257833807627,4.0106722629509735,2.439088482904045,2.17854586399757,-2.8784248150935943,0.6580130081617571,66.18935203552246,39411.75,1196013600000,1.05,"{""type"":""MultiPoint"",""coordinates"":[]}",2007-11-25 15:23:05.770000+00:00,LE07_013030_20071125,5.8,0.024494897427831626,0.5,0.0,5.81,6.0,,,,,,,,,,,,,,,,,5.81,5.8,0.02449489742783205,6.0,,,,,,,,,,,,,,,,
15,1_1_2_1_LT05_013030_20080511,137.91458,0.0,59.173996,0.977941145456293,1.0101572,39579.639940277775,1210519290840.0,1.0,17165,4.804170159639588,19.295066844548757,9.489422280959902,8.98436977820281,7.503188572177316,1.3814907837934791,30.826004028320312,39579.75,1210528800000,0.7399993896484376,"{""type"":""MultiPoint"",""coordinates"":[]}",2008-05-11 15:21:30.840000+00:00,LT05_013030_20080511,10.456666666666667,0.3565202191554734,0.5,0.0,10.475,6.0,,,,,,,,,,,,,,,,,10.475,10.456666666666667,0.3565202191554736,6.0,,,,,,,,,,,,,,,,
16,1_1_2_1_LT05_013030_20080612,130.20898,1.0,62.828243,0.977941145456293,1.015551,39611.63934780093,1213284039650.0,1.0,17165,2.422834982929582,23.703340054630168,17.47507284927664,17.486266821747915,15.186463303786946,0.8095399940582216,27.17175674438477,39611.75,1213293600000,0.5600006103515626,"{""type"":""MultiPoint"",""coordinates"":[]}",2008-06-12 15:20:39.650000+00:00,LT05_013030_20080612,20.23,0.03847076812334242,0.5,0.0,20.225,6.0,,,,,,,,,,,,,,,,,20.225,20.23,0.038470768123341714,6.0,,,,,,,,,,,,,,,,
17,1_2_1_LE07_013030_20080706,129.53622,27.0,61.854122,0.977941145456293,1.0166967,39635.640555555554,1215357744000.0,0.8242936207398777,14149,5.116140953825404,25.91262272877325,20.44438183335327,20.28224442199249,16.56129874653267,0.6804359774861247,28.14587783813477,39635.75,1215367200000,2.0899993896484377,"{""type"":""MultiPoint"",""coordinates"":[]}",2008-07-06 15:22:24+00:00,LE07_013030_20080706,22.767000000000003,0.573605555528652,0.9,0.5163977794943222,22.89,10.0,22.84,22.84,,1.0,21.66,21.66,,1.0,22.47,22.47,,1.0,21.96,21.96,,1.0,23.165,23.123333333333335,0.21407163909931365,6.0,,,,,,,,,,,,,,,,
18,1_2_1_LE07_013030_20080823,141.63443,6.0,52.3904,0.977941145456293,1.0110754,39683.64027280093,1219504919570.0,0.8625691814739295,14806,6.37395597772379,25.41454615394892,19.484295332071664,19.231481647962973,18.170520450989507,0.5473721970271553,37.60960006713867,39683.75,1219514400000,2.2899993896484374,"{""type"":""MultiPoint"",""coordinates"":[]}",2008-08-23 15:21:59.570000+00:00,LE07_013030_20080823,21.951000000000004,0.39198781160189783,0.9,0.5163977794943222,22.120000000000005,10.0,22.17,22.17,,1.0,20.99,20.99,,1.0,21.630000000000003,21.630000000000003,,1.0,21.79,21.79,,1.0,22.160000000000004,22.155,0.08093207028119358,6.0,,,,,,,,,,,,,,,,
