,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_utc,dt_delta,delta_secs
212707,2014-09-17 10:10:00,43.3913,-72.0576,loon,1.5,18.87,edi.499.2,9,2014-09-17 15:10:00+00:00,0 days 00:23:01.560000,1381
212708,2014-09-17 10:20:00,43.3913,-72.0576,loon,0.5,18.7,edi.499.2,9,2014-09-17 15:20:00+00:00,0 days 00:13:01.560000,781
212709,2014-09-17 10:30:00,43.3913,-72.0576,loon,0.5,18.7,edi.499.2,9,2014-09-17 15:30:00+00:00,0 days 00:03:01.560000,181
212710,2014-09-17 10:40:00,43.3913,-72.0576,loon,1.5,18.9,edi.499.2,9,2014-09-17 15:40:00+00:00,-1 days +23:53:01.560000,-419
212711,2014-09-17 10:50:00,43.3913,-72.0576,loon,0.5,18.759999999999994,edi.499.2,9,2014-09-17 15:50:00+00:00,-1 days +23:43:01.560000,-1019
212712,2014-09-17 11:00:00,43.3913,-72.0576,loon,0.5,18.759999999999994,edi.499.2,9,2014-09-17 16:00:00+00:00,-1 days +23:33:01.560000,-1619
394902,2014-09-17 11:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.2,18.06,edi.498.1,9,2014-09-17 16:00:00+00:00,-1 days +23:33:01.560000,-1619
427255,2014-09-17 11:00:00,43.3446,-72.0438,SouthOfTheFells,1.4,18.07,edi.498.1,9,2014-09-17 16:00:00+00:00,-1 days +23:33:01.560000,-1619
454362,2014-09-17 11:00:00,43.3235,-72.0411,Newbury,1.4,18.23,edi.498.1,9,2014-09-17 16:00:00+00:00,-1 days +23:33:01.560000,-1619
481032,2014-09-17 11:00:00,43.4096,-72.0365,HerrickCoveSouth,1.5,18.49,edi.498.1,9,2014-09-17 16:00:00+00:00,-1 days +23:33:01.560000,-1619
