,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_utc,dt_delta,delta_secs
225310,2015-06-24 10:10:00,43.3913,-72.0576,loon,1.5,20.57,edi.499.2,6,2015-06-24 15:10:00+00:00,0 days 00:22:29.830000,1349
225311,2015-06-24 10:20:00,43.3913,-72.0576,loon,1.5,20.56,edi.499.2,6,2015-06-24 15:20:00+00:00,0 days 00:12:29.830000,749
225312,2015-06-24 10:30:00,43.3913,-72.0576,loon,1.5,20.57,edi.499.2,6,2015-06-24 15:30:00+00:00,0 days 00:02:29.830000,149
225313,2015-06-24 10:40:00,43.3913,-72.0576,loon,1.5,20.57,edi.499.2,6,2015-06-24 15:40:00+00:00,-1 days +23:52:29.830000,-451
225314,2015-06-24 10:50:00,43.3913,-72.0576,loon,1.5,20.57,edi.499.2,6,2015-06-24 15:50:00+00:00,-1 days +23:42:29.830000,-1051
225315,2015-06-24 11:00:00,43.3913,-72.0576,loon,1.5,20.58,edi.499.2,6,2015-06-24 16:00:00+00:00,-1 days +23:32:29.830000,-1651
395547,2015-06-24 11:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.4,19.68,edi.498.1,6,2015-06-24 16:00:00+00:00,-1 days +23:32:29.830000,-1651
427900,2015-06-24 11:00:00,43.3446,-72.0438,SouthOfTheFells,1.4,20.17,edi.498.1,6,2015-06-24 16:00:00+00:00,-1 days +23:32:29.830000,-1651
455007,2015-06-24 11:00:00,43.3235,-72.0411,Newbury,1.5,20.18,edi.498.1,6,2015-06-24 16:00:00+00:00,-1 days +23:32:29.830000,-1651
481677,2015-06-24 11:00:00,43.4096,-72.0365,HerrickCoveSouth,1.4,20.64,edi.498.1,6,2015-06-24 16:00:00+00:00,-1 days +23:32:29.830000,-1651
