,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_utc,dt_delta,delta_secs
90674,2010-06-02 10:00:00,43.3913,-72.0576,loon,1.0,19.07,edi.499.2,6,2010-06-02 15:00:00+00:00,0 days 00:23:35.350000,1415
90675,2010-06-02 10:10:00,43.3913,-72.0576,loon,1.0,19.15000000000001,edi.499.2,6,2010-06-02 15:10:00+00:00,0 days 00:13:35.350000,815
90676,2010-06-02 10:20:00,43.3913,-72.0576,loon,1.0,19.23,edi.499.2,6,2010-06-02 15:20:00+00:00,0 days 00:03:35.350000,215
90677,2010-06-02 10:30:00,43.3913,-72.0576,loon,1.0,19.32,edi.499.2,6,2010-06-02 15:30:00+00:00,-1 days +23:53:35.350000,-385
90678,2010-06-02 10:40:00,43.3913,-72.0576,loon,1.0,19.4,edi.499.2,6,2010-06-02 15:40:00+00:00,-1 days +23:43:35.350000,-985
90679,2010-06-02 10:50:00,43.3913,-72.0576,loon,1.0,19.459999999999997,edi.499.2,6,2010-06-02 15:50:00+00:00,-1 days +23:33:35.350000,-1585
380851,2010-06-02 10:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.5,18.37,edi.498.1,6,2010-06-02 15:00:00+00:00,0 days 00:23:35.350000,1415
413204,2010-06-02 10:00:00,43.3446,-72.0438,SouthOfTheFells,1.5,19.5,edi.498.1,6,2010-06-02 15:00:00+00:00,0 days 00:23:35.350000,1415
440311,2010-06-02 10:00:00,43.3235,-72.0411,Newbury,1.5,20.02,edi.498.1,6,2010-06-02 15:00:00+00:00,0 days 00:23:35.350000,1415
472664,2010-06-02 10:00:00,43.4096,-72.0365,HerrickCoveSouth,1.5,19.38,edi.498.1,6,2010-06-02 15:00:00+00:00,0 days 00:23:35.350000,1415
