,system:index,azimuth,cloud_cover,elev,esd,l_exceltime,landsat_time,pct_lake,pixel_count,surface_temp_count,surface_temp_kurtosis,surface_temp_max,surface_temp_mean,surface_temp_median,surface_temp_min,surface_temp_p25,surface_temp_p75,surface_temp_skew,surface_temp_stdDev,sza,.geo,landsat_time_utc,scene,is_temp_avg,is_temp_stdev,is_depth_avg,is_depth_stdev,is_temp_med,insitu_count,HerrickCoveSouth_median,HerrickCoveSouth_mean,HerrickCoveSouth_std,HerrickCoveSouth_count,Newbury_median,Newbury_mean,Newbury_std,Newbury_count,NorthSunapeeHarbor_median,NorthSunapeeHarbor_mean,NorthSunapeeHarbor_std,NorthSunapeeHarbor_count,SouthOfTheFells_median,SouthOfTheFells_mean,SouthOfTheFells_std,SouthOfTheFells_count,loon_median,loon_mean,loon_std,loon_count,harbor_median,harbor_mean,harbor_std,harbor_count,GeorgesMills_median,GeorgesMills_mean,GeorgesMills_std,GeorgesMills_count,HerrickCove_median,HerrickCove_mean,HerrickCove_std,HerrickCove_count,StateBeach_median,StateBeach_mean,StateBeach_std,StateBeach_count
0,1_2_1_LE07_013030_20060717,131.03422466,8.0,60.56458205,1.0163383,38915.640739375,1153149759882.0,0.8723565394698515,14974,15873,9.923402129625169,35.47153400000003,26.482320263488468,26.193674671204942,24.674008820000036,26.193674671204942,26.691406195010146,2.632414667927684,0.9958482717752704,29.43541795,"{""type"":""MultiPoint"",""coordinates"":[]}",2006-07-17 15:22:39.882000+00:00,LE07_013030_20060717,24.41,,1.5,,24.41,1.0,24.41,24.41,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1_1_2_1_LT05_013030_20060725,134.22257343,15.0,59.77714192,1.0157178,38923.64310987268,1153841164693.0,1.0,17165,18205,7.210608346135786,33.926588960000004,24.010419107915748,24.09592731123116,22.56850850000001,23.2900449556952,24.134849462276808,2.1219096324384648,0.9829561571090786,30.22285808,"{""type"":""MultiPoint"",""coordinates"":[]}",2006-07-25 15:26:04.693000+00:00,LT05_013030_20060725,23.89,,1.5,,23.89,1.0,23.89,23.89,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1_2_1_LE07_013030_20060802,134.79728016,22.0,57.68323206,1.0148085999999998,38931.640683344915,1154532155041.0,0.8519079522283717,14623,15463,6.085830281261903,36.14146592000003,25.54763164721142,25.306547176484266,22.674467120000035,24.660792694598776,25.951931430091093,1.9139329400637688,1.2872102683800517,32.31676794,"{""type"":""MultiPoint"",""coordinates"":[]}",2006-08-02 15:22:35.041000+00:00,LE07_013030_20060802,26.49,,1.5,,26.49,1.0,26.49,26.49,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1_1_2_1_LT05_013030_20060911,149.88598224,3.0,47.44752268,1.0066447,38971.64349789352,1157988398218.0,0.9793183804252841,16810,17780,0.3909164851397367,21.778945880000038,15.712376627662596,15.839453917469342,11.924794220000026,15.15447662147018,16.36728074906245,-0.11990722854838218,0.8846413656014952,42.55247732,"{""type"":""MultiPoint"",""coordinates"":[]}",2006-09-11 15:26:38.218000+00:00,LT05_013030_20060911,18.77,,1.5,,18.77,1.0,18.77,18.77,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1_1_2_1_LT05_013030_20070712,131.99929322,15.0,61.91173813,1.0165832000000001,39275.643468784714,1184253995703.0,0.5701718613457617,9787,10386,5.400792730374416,31.855268840000008,21.365699628858508,21.33654740812504,19.00351364000005,20.766493676407407,21.94159282472047,1.503473416733021,1.055723508354602,28.08826187,"{""type"":""MultiPoint"",""coordinates"":[]}",2007-07-12 15:26:35.703000+00:00,LT05_013030_20070712,21.11,0.50616202939375,1.5,0.0,20.965,4.0,21.84,21.84,,1.0,20.67,20.67,,1.0,20.97,20.97,,1.0,20.96,20.96,,1.0,,,,,,,,,,,,,,,,,,,,
17,1_2_1_LE07_013030_20070805,135.72512738,0.0,57.13146774,1.0144331,39299.640967314815,1186327379576.0,0.8543547917273522,14665,15571,16.936674853316646,30.177021019999987,24.60912596099383,24.654618169877505,21.919084699999985,24.311157130387482,24.654618169877505,2.784548364635578,0.4994098135800802,32.86853226,"{""type"":""MultiPoint"",""coordinates"":[]}",2007-08-05 15:22:59.576000+00:00,LE07_013030_20070805,24.880000000000003,0.5266877632905476,1.5,0.0,24.965,4.0,25.07,25.07,,1.0,25.42,25.42,,1.0,24.17,24.17,,1.0,24.86,24.86,,1.0,,,,,,,,,,,,,,,,,,,,
18,1_1_2_1_LT05_013030_20070813,139.75161244,49.0,55.7917812,1.0131619,39307.64324513889,1187018776380.0,0.7962714826682202,13668,14477,8.014292090221879,32.121874400000024,24.00679726320321,24.017133367038483,21.720839540000046,23.394682780073534,24.156288796856717,2.079626801441831,0.8606521005750745,34.2082188,"{""type"":""MultiPoint"",""coordinates"":[]}",2007-08-13 15:26:16.380000+00:00,LT05_013030_20070813,23.752500000000005,0.37739236876227467,1.5,0.0,23.745,4.0,24.21,24.21,,1.0,23.85,23.85,,1.0,23.31,23.31,,1.0,23.64,23.64,,1.0,,,,,,,,,,,,,,,,,,,,
19,1_1_2_1_LT05_013030_20070829,145.20798098,1.0,51.47234426,1.0099129999999998,39323.64311425926,1188401165072.0,1.0,17165,18205,8.815487156445428,32.070604100000025,23.537177505857603,23.21866649182849,22.36342730000001,23.098962963292408,23.803993425628477,2.3876195467781782,0.8838535681219046,38.52765574,"{""type"":""MultiPoint"",""coordinates"":[]}",2007-08-29 15:26:05.072000+00:00,LT05_013030_20070829,22.825000000000003,0.5456545508734346,0.9,0.5163977794943222,23.080000000000005,10.0,22.34,22.34,,1.0,21.83,21.83,,1.0,22.3,22.3,,1.0,22.46,22.46,,1.0,23.21,23.220000000000002,0.14791889669680214,6.0,,,,,,,,,,,,,,,,
20,1_2_1_LE07_013030_20070906,146.59894761,39.0,48.63549834,1.0079926,39331.64080681713,1189092165709.0,0.8115933585785028,13931,14712,4.811851486688785,23.563152320000032,18.85209894031412,18.65493339435401,16.361384180000016,18.65493339435401,19.17793464916068,0.89864309934002,0.5509341348858684,41.36450166,"{""type"":""MultiPoint"",""coordinates"":[]}",2007-09-06 15:22:45.709000+00:00,LE07_013030_20070906,20.607,0.17068814968955695,0.9,0.5163977794943222,20.675,10.0,20.68,20.68,,1.0,20.67,20.67,,1.0,20.16,20.16,,1.0,20.47,20.47,,1.0,20.69,20.68166666666667,0.013291601358250929,6.0,,,,,,,,,,,,,,,,
21,1_1_2_1_LT05_013030_20070914,150.54677068,30.0,46.49819316,1.0059195,39339.64304741898,1189783559297.0,0.999883483833382,17163,18203,11.918920225578265,25.49433362000002,19.333918471645845,19.132593411385084,18.38485202000004,18.989581241467608,19.734869191876804,2.5385681142376955,0.5362255611617656,43.50180684,"{""type"":""MultiPoint"",""coordinates"":[]}",2007-09-14 15:25:59.297000+00:00,LT05_013030_20070914,19.508000000000003,0.19469634476966116,0.9,0.5163977794943222,19.59,10.0,19.71,19.71,,1.0,19.37,19.37,,1.0,19.18,19.18,,1.0,19.18,19.18,,1.0,19.62,19.606666666666666,0.03932768321000832,6.0,,,,,,,,,,,,,,,,
22,1_2_1_LE07_013030_20070922,151.75149340000002,59.0,43.46302614,1.0037313,39347.640747858786,1190474560615.0,0.3864258665889892,6633,6846,-0.3417723238961177,17.742264260000013,8.716658285780486,8.570494938528324,3.5711533400000235,7.1824708314456105,10.061548247771718,0.4507272065321537,2.260495850403452,46.53697386,"{""type"":""MultiPoint"",""coordinates"":[]}",2007-09-22 15:22:40.615000+00:00,LE07_013030_20070922,19.56666666666667,0.08477420991473061,0.5,0.0,19.585,6.0,,,,,,,,,,,,,,,,,19.585,19.56666666666667,0.08477420991472961,6.0,,,,,,,,,,,,,,,,
23,1_2_1_LE07_013030_20071125,161.08497004,37.0,23.81064777,0.9871101000000001,39411.64103902778,1196004185772.0,0.8711913778036703,14954,15836,7.492208362479878,6.223536860000024,4.184112855871545,4.450320001877472,-1.1867304999999533,4.083082819570824,4.450320001877472,-1.9261730628804816,0.6079020327070065,66.18935223,"{""type"":""MultiPoint"",""coordinates"":[]}",2007-11-25 15:23:05.772000+00:00,LE07_013030_20071125,5.8,0.024494897427831626,0.5,0.0,5.81,6.0,,,,,,,,,,,,,,,,,5.81,5.8,0.02449489742783205,6.0,,,,,,,,,,,,,,,,
24,1_1_2_1_LT05_013030_20080511,137.91458057,0.0,59.17399627,1.0101572,39579.639940277775,1210519290840.0,1.0,17165,18205,5.45012782662174,23.631512720000053,11.290967234059956,10.80346661140701,9.005805140000009,10.253542754645345,11.738954842685555,2.1282378449088517,1.7436398685760497,30.82600373,"{""type"":""MultiPoint"",""coordinates"":[]}",2008-05-11 15:21:30.840000+00:00,LT05_013030_20080511,10.456666666666667,0.3565202191554734,0.5,0.0,10.475,6.0,,,,,,,,,,,,,,,,,10.475,10.456666666666667,0.3565202191554736,6.0,,,,,,,,,,,,,,,,
25,1_1_2_1_LT05_013030_20080612,130.20899042,1.0,62.82824199,1.015551,39611.6393478125,1213284039651.0,1.0,17165,18205,0.6884962938357262,28.515863299999975,20.526426290993246,20.321200374229964,16.757874500000018,19.799751051935274,21.44725080833195,0.04202385218383412,1.3117107142891873,27.17175801,"{""type"":""MultiPoint"",""coordinates"":[]}",2008-06-12 15:20:39.651000+00:00,LT05_013030_20080612,20.23,0.03847076812334242,0.5,0.0,20.225,6.0,,,,,,,,,,,,,,,,,20.225,20.23,0.038470768123341714,6.0,,,,,,,,,,,,,,,,
