"","collection","month","variable","All missions","LS 5","LS 7","LS 8"
"1","1","All data","n_obs",119,23,59,37
"2","2","All data","n_obs",111,23,55,33
"3","1","All data","mae",0.85,0.92,0.73,1.02
"4","2","All data","mae",0.73,0.97,0.62,0.75
"5","1","All data","rmse",1.22,1.35,1.08,1.35
"6","2","All data","rmse",1.13,1.56,0.93,1.08
"7","1","All data","mse",1.5,1.83,1.17,1.82
"8","2","All data","mse",1.28,2.42,0.87,1.17
"9","1","All data","bias",0,-0.28,0.12,-0.01
"10","2","All data","bias",0,-0.17,0.19,-0.21
"11","1","05","n_obs",15,2,9,4
"12","2","05","n_obs",14,2,9,3
"13","1","05","mae",1.27,1.4,1.21,1.36
"14","2","05","mae",1.21,1.72,1.07,1.29
"15","1","05","rmse",1.56,1.41,1.52,1.71
"16","2","05","rmse",1.46,1.74,1.39,1.46
"17","1","05","bias",1.18,1.4,1.21,1.03
"18","2","05","bias",1.09,1.72,0.96,1.05
"19","1","06","n_obs",14,4,5,5
"20","2","06","n_obs",11,4,4,3
"21","1","06","mae",0.84,0.54,0.86,1.07
"22","2","06","mae",0.69,0.56,0.77,0.76
"23","1","06","rmse",0.95,0.56,0.92,1.19
"24","2","06","rmse",0.82,0.68,0.96,0.77
"25","1","06","bias",0.54,0.15,0.34,1.07
"26","2","06","bias",0.51,0.07,0.77,0.76
"27","1","07","n_obs",17,2,6,9
"28","2","07","n_obs",16,2,6,8
"29","1","07","mae",0.71,0.76,0.15,1.07
"30","2","07","mae",0.48,0.79,0.44,0.43
"31","1","07","rmse",1.26,0.77,0.17,1.7
"32","2","07","rmse",0.57,0.81,0.58,0.48
"33","1","07","bias",-0.24,-0.1,0.1,-0.51
"34","2","07","bias",0.13,-0.14,0.24,0.12
"35","1","08","n_obs",14,3,8,3
"36","2","08","n_obs",14,3,8,3
"37","1","08","mae",0.78,1.27,0.45,1.18
"38","2","08","mae",0.62,0.99,0.32,1.07
"39","1","08","rmse",1.09,1.64,0.59,1.37
"40","2","08","rmse",0.93,1.28,0.36,1.44
"41","1","08","bias",-0.28,-0.96,0.32,-1.18
"42","2","08","bias",-0.27,-0.42,0.07,-1.02
"43","1","09","n_obs",21,5,11,5
"44","2","09","n_obs",21,5,11,5
"45","1","09","mae",0.84,1.51,0.57,0.76
"46","2","09","mae",0.87,1.77,0.53,0.7
"47","1","09","rmse",1.31,2.26,0.76,0.89
"48","2","09","rmse",1.53,2.82,0.62,1
"49","1","09","bias",-0.34,-1.08,-0.29,0.31
"50","2","09","bias",-0.52,-1.41,-0.19,-0.37
"51","1","10","n_obs",20,5,9,6
"52","2","10","n_obs",20,5,9,6
"53","1","10","mae",0.69,0.46,0.51,1.16
"54","2","10","mae",0.54,0.49,0.3,0.95
"55","1","10","rmse",0.88,0.57,0.66,1.3
"56","2","10","rmse",0.89,0.56,0.39,1.47
"57","1","10","bias",-0.03,-0.26,0.41,-0.52
"58","2","10","bias",-0.13,0.08,0.28,-0.92
"59","1","11","n_obs",18,2,11,5
"60","2","11","n_obs",15,2,8,5
"61","1","11","mae",0.9,0.48,1.13,0.58
"62","2","11","mae",0.73,0.33,0.93,0.57
"63","1","11","rmse",1.38,0.48,1.67,0.77
"64","2","11","rmse",1.23,0.37,1.5,0.92
"65","1","11","bias",-0.53,-0.05,-0.84,-0.04
"66","2","11","bias",-0.38,0.33,-0.44,-0.57
