"","collection","filter","month","variable","All missions","LS 5","LS 7","LS 8"
"1","1","none","All data","n_obs",119,23,59,37
"2","2","110% in-situ IQR","All data","n_obs",102,22,52,28
"3","2","110% in-situ range","All data","n_obs",54,12,23,19
"4","2","freeze and 40% cc","All data","n_obs",88,18,46,24
"5","2","min below zero","All data","n_obs",106,23,53,30
"6","2","none","All data","n_obs",111,23,55,33
"7","1","none","All data","mae",0.85,0.92,0.73,1.02
"8","2","110% in-situ IQR","All data","mae",0.61,0.71,0.55,0.65
"9","2","110% in-situ range","All data","mae",0.54,0.73,0.49,0.48
"10","2","freeze and 40% cc","All data","mae",0.55,0.62,0.48,0.65
"11","2","min below zero","All data","mae",0.7,0.95,0.57,0.75
"12","2","none","All data","mae",0.73,0.97,0.62,0.75
"13","1","none","All data","rmse",1.22,1.35,1.08,1.35
"14","2","110% in-situ IQR","All data","rmse",0.92,0.93,0.9,0.94
"15","2","110% in-situ range","All data","rmse",0.88,0.92,0.89,0.84
"16","2","freeze and 40% cc","All data","rmse",0.73,0.77,0.66,0.82
"17","2","min below zero","All data","rmse",1.13,1.56,0.91,1.07
"18","2","none","All data","rmse",1.13,1.56,0.93,1.08
"19","1","none","All data","mse",1.5,1.83,1.17,1.82
"20","2","110% in-situ IQR","All data","mse",0.84,0.86,0.81,0.88
"21","2","110% in-situ range","All data","mse",0.77,0.84,0.79,0.7
"22","2","freeze and 40% cc","All data","mse",0.53,0.59,0.44,0.67
"23","2","min below zero","All data","mse",1.27,2.42,0.83,1.15
"24","2","none","All data","mse",1.28,2.42,0.87,1.17
"25","1","none","All data","bias",0,-0.28,0.12,-0.01
"26","2","110% in-situ IQR","All data","bias",0,-0.04,0.07,-0.1
"27","2","110% in-situ range","All data","bias",0,-0.04,0.05,-0.03
"28","2","freeze and 40% cc","All data","bias",0,-0.12,0.08,-0.07
"29","2","min below zero","All data","bias",0,-0.21,0.17,-0.15
"30","2","none","All data","bias",0,-0.17,0.19,-0.21
