"","collection","filter","month","variable","All missions","LS 5","LS 7","LS 8"
"1","1","none","All data","n_obs",125,25,62,38
"2","2","kurtosis","All data","n_obs",128,22,75,31
"3","2","none","All data","n_obs",157,29,86,42
"4","1","none","All data","mae",0.94,1.1,0.81,1.05
"5","2","kurtosis","All data","mae",0.6,0.53,0.61,0.64
"6","2","none","All data","mae",0.86,1.08,0.85,0.72
"7","1","none","All data","rmse",1.31,1.48,1.19,1.38
"8","2","kurtosis","All data","rmse",0.77,0.68,0.79,0.79
"9","2","none","All data","rmse",1.42,1.85,1.41,1.05
"10","1","none","All data","mse",1.72,2.18,1.41,1.9
"11","2","kurtosis","All data","mse",0.6,0.46,0.63,0.63
"12","2","none","All data","mse",2.02,3.44,1.99,1.11
"13","1","none","All data","bias",0,-0.17,0.09,-0.04
"14","2","kurtosis","All data","bias",0,0.12,-0.03,-0.01
"15","2","none","All data","bias",0,-0.18,0.07,-0.02
"16","1","none","05","n_obs",16,3,9,4
"17","2","kurtosis","05","n_obs",13,2,8,3
"18","2","none","05","n_obs",16,2,11,3
"19","1","none","05","mae",1.48,1.53,1.46,1.48
"20","2","kurtosis","05","mae",1.15,1.09,1.13,1.26
"21","2","none","05","mae",1.4,1.69,1.34,1.43
"22","1","none","05","rmse",1.7,1.57,1.67,1.85
"23","2","kurtosis","05","rmse",1.3,1.22,1.31,1.34
"24","2","none","05","rmse",1.62,1.75,1.57,1.72
"25","1","none","05","bias",1.42,1.53,1.46,1.23
"26","2","kurtosis","05","bias",0.73,1.09,0.62,0.79
"27","2","none","05","bias",1.11,1.69,0.91,1.43
"28","1","none","06","n_obs",15,4,6,5
"29","2","kurtosis","06","n_obs",11,2,6,3
"30","2","none","06","n_obs",15,4,7,4
"31","1","none","06","mae",0.85,0.77,0.65,1.16
"32","2","kurtosis","06","mae",0.75,1.11,0.7,0.6
"33","2","none","06","mae",1.24,0.79,1.81,0.69
"34","1","none","06","rmse",1,0.88,0.73,1.32
"35","2","kurtosis","06","rmse",0.86,1.18,0.82,0.65
"36","2","none","06","rmse",1.97,1.03,2.72,0.79
"37","1","none","06","bias",0.72,0.77,0.32,1.16
"38","2","kurtosis","06","bias",0.75,1.11,0.7,0.6
"39","2","none","06","bias",0.35,0.79,-0.09,0.69
"40","1","none","07","n_obs",17,2,6,9
"41","2","kurtosis","07","n_obs",24,4,12,8
"42","2","none","07","n_obs",29,4,16,9
"43","1","none","07","mae",0.68,0.55,0.25,1
"44","2","kurtosis","07","mae",0.41,0.38,0.49,0.31
"45","2","none","07","mae",0.42,0.32,0.47,0.37
"46","1","none","07","rmse",1.17,0.58,0.35,1.57
"47","2","kurtosis","07","rmse",0.54,0.51,0.62,0.39
"48","2","none","07","rmse",0.54,0.44,0.61,0.44
"49","1","none","07","bias",-0.16,-0.17,0.22,-0.4
"50","2","kurtosis","07","bias",0.05,-0.31,0.21,-0.02
"51","2","none","07","bias",0.15,-0.11,0.22,0.15
"52","1","none","08","n_obs",15,3,9,3
"53","2","kurtosis","08","n_obs",25,4,16,5
"54","2","none","08","n_obs",29,6,16,7
"55","1","none","08","mae",0.9,1.38,0.67,1.08
"56","2","kurtosis","08","mae",0.49,0.18,0.54,0.6
"57","2","none","08","mae",0.8,1.58,0.53,0.73
"58","1","none","08","rmse",1.26,1.75,1.03,1.27
"59","2","kurtosis","08","rmse",0.58,0.2,0.63,0.62
"60","2","none","08","rmse",1.44,2.77,0.65,1.01
"61","1","none","08","bias",-0.44,-1.12,0,-1.08
"62","2","kurtosis","08","bias",-0.15,-0.07,-0.11,-0.33
"63","2","none","08","bias",-0.36,-1.38,0.04,-0.43
"64","1","none","09","n_obs",23,6,11,6
"65","2","kurtosis","09","n_obs",27,4,16,7
"66","2","none","09","n_obs",32,6,18,8
"67","1","none","09","mae",1,1.68,0.58,1.07
"68","2","kurtosis","09","mae",0.67,0.6,0.69,0.68
"69","2","none","09","mae",1.07,1.63,0.97,0.87
"70","1","none","09","rmse",1.45,2.26,0.82,1.3
"71","2","kurtosis","09","rmse",0.85,0.63,0.87,0.92
