,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_utc,dt_delta,delta_secs
210403,2014-09-01 10:10:00,43.3913,-72.0576,loon,1.5,21.89,edi.499.2,9,2014-09-01 15:10:00+00:00,0 days 00:22:59.911000,1379
210404,2014-09-01 10:20:00,43.3913,-72.0576,loon,0.5,21.779999999999994,edi.499.2,9,2014-09-01 15:20:00+00:00,0 days 00:12:59.911000,779
210405,2014-09-01 10:30:00,43.3913,-72.0576,loon,0.5,21.779999999999994,edi.499.2,9,2014-09-01 15:30:00+00:00,0 days 00:02:59.911000,179
210406,2014-09-01 10:40:00,43.3913,-72.0576,loon,1.5,21.95,edi.499.2,9,2014-09-01 15:40:00+00:00,-1 days +23:52:59.911000,-421
210407,2014-09-01 10:50:00,43.3913,-72.0576,loon,0.5,21.91,edi.499.2,9,2014-09-01 15:50:00+00:00,-1 days +23:42:59.911000,-1021
210408,2014-09-01 11:00:00,43.3913,-72.0576,loon,0.5,21.91,edi.499.2,9,2014-09-01 16:00:00+00:00,-1 days +23:32:59.911000,-1621
394518,2014-09-01 11:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.2,21.31,edi.498.1,9,2014-09-01 16:00:00+00:00,-1 days +23:32:59.911000,-1621
426871,2014-09-01 11:00:00,43.3446,-72.0438,SouthOfTheFells,1.4,21.32,edi.498.1,9,2014-09-01 16:00:00+00:00,-1 days +23:32:59.911000,-1621
453978,2014-09-01 11:00:00,43.3235,-72.0411,Newbury,1.4,21.66,edi.498.1,9,2014-09-01 16:00:00+00:00,-1 days +23:32:59.911000,-1621
480648,2014-09-01 11:00:00,43.4096,-72.0365,HerrickCoveSouth,1.5,21.93,edi.498.1,9,2014-09-01 16:00:00+00:00,-1 days +23:32:59.911000,-1621
