,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_utc,dt_delta,delta_secs
474968,2010-09-06 10:00:00,43.4096,-72.0365,HerrickCoveSouth,1.5,21.34,edi.498.1,9,2010-09-06 15:00:00+00:00,0 days 00:23:08.713000,1388
442615,2010-09-06 10:00:00,43.3235,-72.0411,Newbury,1.5,21.66,edi.498.1,9,2010-09-06 15:00:00+00:00,0 days 00:23:08.713000,1388
415508,2010-09-06 10:00:00,43.3446,-72.0438,SouthOfTheFells,1.5,21.130000000000006,edi.498.1,9,2010-09-06 15:00:00+00:00,0 days 00:23:08.713000,1388
383155,2010-09-06 10:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.5,20.48,edi.498.1,9,2010-09-06 15:00:00+00:00,0 days 00:23:08.713000,1388
104498,2010-09-06 10:00:00,43.3913,-72.0576,loon,1.0,19.34,edi.499.2,9,2010-09-06 15:00:00+00:00,0 days 00:23:08.713000,1388
104499,2010-09-06 10:10:00,43.3913,-72.0576,loon,1.0,19.34,edi.499.2,9,2010-09-06 15:10:00+00:00,0 days 00:13:08.713000,788
104500,2010-09-06 10:20:00,43.3913,-72.0576,loon,1.0,19.4,edi.499.2,9,2010-09-06 15:20:00+00:00,0 days 00:03:08.713000,188
104501,2010-09-06 10:30:00,43.3913,-72.0576,loon,1.0,19.4,edi.499.2,9,2010-09-06 15:30:00+00:00,-1 days +23:53:08.713000,-412
104502,2010-09-06 10:40:00,43.3913,-72.0576,loon,1.0,19.43,edi.499.2,9,2010-09-06 15:40:00+00:00,-1 days +23:43:08.713000,-1012
104503,2010-09-06 10:50:00,43.3913,-72.0576,loon,1.0,19.459999999999994,edi.499.2,9,2010-09-06 15:50:00+00:00,-1 days +23:33:08.713000,-1612
