"X1","system:index","azimuth","cloud_cover","elev","esd","l_exceltime","landsat_time","pct_lake","pixel_count","surface_temp_count","surface_temp_max","surface_temp_mean","surface_temp_median","surface_temp_min","surface_temp_p25","surface_temp_p75","surface_temp_skew","surface_temp_stdDev","sza",".geo","landsat_time_utc","scene","temp_avg","t_stdev","depth_avg","d_stdev","temp_med","insitu_count","HerrickCoveSouth_median","HerrickCoveSouth_mean","HerrickCoveSouth_std","HerrickCoveSouth_count","Newbury_median","Newbury_mean","Newbury_std","Newbury_count","NorthSunapeeHarbor_median","NorthSunapeeHarbor_mean","NorthSunapeeHarbor_std","NorthSunapeeHarbor_count","SouthOfTheFells_median","SouthOfTheFells_mean","SouthOfTheFells_std","SouthOfTheFells_count","loon_median","loon_mean","loon_std","loon_count","harbor_median","harbor_mean","harbor_std","harbor_count","GeorgesMills_median","GeorgesMills_mean","GeorgesMills_std","GeorgesMills_count","HerrickCove_median","HerrickCove_mean","HerrickCove_std","HerrickCove_count","StateBeach_median","StateBeach_mean","StateBeach_std","StateBeach_count","date","LSmission","collection","month","doy","freeze_QAQC","temp_spread","spread_QAQC","IQR","IQR_QAQC"
0,"1_2_1_LE07_013030_20060717",131.03422466,8,60.56458205,1.0163383,38915.640739375,1153149759882,0.872356539469851,14974,15873,35.471534,26.4823202634885,26.1936746712049,24.67400882,26.1936746712049,26.6914061950101,2.63241466792768,0.99584827177527,29.43541795,"{""type"":""MultiPoint"",""coordinates"":[]}",2006-07-17 15:22:39,"LE07_013030_20060717",24.41,NA,1.5,NA,24.41,1,24.41,24.41,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006-07-17,"LS 7",2,"07","198","P",10.8,"F",0.5,"P"
1,"1_1_2_1_LT05_013030_20060725",134.22257343,15,59.77714192,1.0157178,38923.6431098727,1153841164693,1,17165,18205,33.92658896,24.0104191079157,24.0959273112312,22.5685085,23.2900449556952,24.1348494622768,2.12190963243846,0.982956157109079,30.22285808,"{""type"":""MultiPoint"",""coordinates"":[]}",2006-07-25 15:26:04,"LT05_013030_20060725",23.89,NA,1.5,NA,23.89,1,23.89,23.89,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006-07-25,"LS 5",2,"07","206","P",11.3,"F",0.800000000000001,"P"
2,"1_2_1_LE07_013030_20060802",134.79728016,22,57.68323206,1.0148086,38931.6406833449,1154532155041,0.851907952228372,14623,15463,36.14146592,25.5476316472114,25.3065471764843,22.67446712,24.6607926945988,25.9519314300911,1.91393294006377,1.28721026838005,32.31676794,"{""type"":""MultiPoint"",""coordinates"":[]}",2006-08-02 15:22:35,"LE07_013030_20060802",26.49,NA,1.5,NA,26.49,1,26.49,26.49,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006-08-02,"LS 7",2,"08","214","P",13.4,"F",1.3,"P"
3,"1_1_2_1_LT05_013030_20060911",149.88598224,3,47.44752268,1.0066447,38971.6434978935,1157988398218,0.979318380425284,16810,17780,21.77894588,15.7123766276626,15.8394539174693,11.92479422,15.1544766214702,16.3672807490624,-0.119907228548382,0.884641365601495,42.55247732,"{""type"":""MultiPoint"",""coordinates"":[]}",2006-09-11 15:26:38,"LT05_013030_20060911",18.77,NA,1.5,NA,18.77,1,18.77,18.77,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006-09-11,"LS 5",2,"09","254","P",9.9,"P",1.2,"P"
16,"1_1_2_1_LT05_013030_20070712",131.99929322,15,61.91173813,1.0165832,39275.6434687847,1184253995703,0.570171861345762,9787,10386,31.85526884,21.3656996288585,21.336547408125,19.0035136400001,20.7664936764074,21.9415928247205,1.50347341673302,1.0557235083546,28.08826187,"{""type"":""MultiPoint"",""coordinates"":[]}",2007-07-12 15:26:35,"LT05_013030_20070712",21.11,0.50616202939375,1.5,0,20.965,4,21.84,21.84,NA,1,20.67,20.67,NA,1,20.97,20.97,NA,1,20.96,20.96,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007-07-12,"LS 5",2,"07","193","P",12.9,"F",1.1,"P"
17,"1_2_1_LE07_013030_20070805",135.72512738,0,57.13146774,1.0144331,39299.6409673148,1186327379576,0.854354791727352,14665,15571,30.17702102,24.6091259609938,24.6546181698775,21.9190847,24.3111571303875,24.6546181698775,2.78454836463558,0.49940981358008,32.86853226,"{""type"":""MultiPoint"",""coordinates"":[]}",2007-08-05 15:22:59,"LE07_013030_20070805",24.88,0.526687763290548,1.5,0,24.965,4,25.07,25.07,NA,1,25.42,25.42,NA,1,24.17,24.17,NA,1,24.86,24.86,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007-08-05,"LS 7",2,"08","217","P",8.3,"P",0.399999999999999,"P"
18,"1_1_2_1_LT05_013030_20070813",139.75161244,49,55.7917812,1.0131619,39307.6432451389,1187018776380,0.79627148266822,13668,14477,32.1218744,24.0067972632032,24.0171333670385,21.72083954,23.3946827800735,24.1562887968567,2.07962680144183,0.860652100575074,34.2082188,"{""type"":""MultiPoint"",""coordinates"":[]}",2007-08-13 15:26:16,"LT05_013030_20070813",23.7525,0.377392368762275,1.5,0,23.745,4,24.21,24.21,NA,1,23.85,23.85,NA,1,23.31,23.31,NA,1,23.64,23.64,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007-08-13,"LS 5",2,"08","225","P",10.4,"F",0.800000000000001,"P"
19,"1_1_2_1_LT05_013030_20070829",145.20798098,1,51.47234426,1.009913,39323.6431142593,1188401165072,1,17165,18205,32.0706041,23.5371775058576,23.2186664918285,22.3634273,23.0989629632924,23.8039934256285,2.38761954677818,0.883853568121905,38.52765574,"{""type"":""MultiPoint"",""coordinates"":[]}",2007-08-29 15:26:05,"LT05_013030_20070829",22.825,0.545654550873435,0.9,0.516397779494322,23.08,10,22.34,22.34,NA,1,21.83,21.83,NA,1,22.3,22.3,NA,1,22.46,22.46,NA,1,23.21,23.22,0.147918896696802,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007-08-29,"LS 5",2,"08","241","P",9.7,"P",0.699999999999999,"P"
20,"1_2_1_LE07_013030_20070906",146.59894761,39,48.63549834,1.0079926,39331.6408068171,1189092165709,0.811593358578503,13931,14712,23.56315232,18.8520989403141,18.654933394354,16.36138418,18.654933394354,19.1779346491607,0.89864309934002,0.550934134885868,41.36450166,"{""type"":""MultiPoint"",""coordinates"":[]}",2007-09-06 15:22:45,"LE07_013030_20070906",20.607,0.170688149689557,0.9,0.516397779494322,20.675,10,20.68,20.68,NA,1,20.67,20.67,NA,1,20.16,20.16,NA,1,20.47,20.47,NA,1,20.69,20.6816666666667,0.0132916013582509,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007-09-06,"LS 7",2,"09","249","P",7.2,"P",0.5,"P"
21,"1_1_2_1_LT05_013030_20070914",150.54677068,30,46.49819316,1.0059195,39339.643047419,1189783559297,0.999883483833382,17163,18203,25.49433362,19.3339184716458,19.1325934113851,18.38485202,18.9895812414676,19.7348691918768,2.5385681142377,0.536225561161766,43.50180684,"{""type"":""MultiPoint"",""coordinates"":[]}",2007-09-14 15:25:59,"LT05_013030_20070914",19.508,0.194696344769661,0.9,0.516397779494322,19.59,10,19.71,19.71,NA,1,19.37,19.37,NA,1,19.18,19.18,NA,1,19.18,19.18,NA,1,19.62,19.6066666666667,0.0393276832100083,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007-09-14,"LS 5",2,"09","257","P",7.1,"P",0.699999999999999,"P"
