,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_utc,dt_delta,delta_secs
231068,2015-08-03 10:10:00,43.3913,-72.0576,loon,1.5,24.1,edi.499.2,8,2015-08-03 15:10:00+00:00,0 days 00:22:31.019000,1351
231069,2015-08-03 10:20:00,43.3913,-72.0576,loon,1.5,24.1,edi.499.2,8,2015-08-03 15:20:00+00:00,0 days 00:12:31.019000,751
231070,2015-08-03 10:30:00,43.3913,-72.0576,loon,1.5,24.1,edi.499.2,8,2015-08-03 15:30:00+00:00,0 days 00:02:31.019000,151
231071,2015-08-03 10:40:00,43.3913,-72.0576,loon,1.5,24.110000000000007,edi.499.2,8,2015-08-03 15:40:00+00:00,-1 days +23:52:31.019000,-449
231072,2015-08-03 10:50:00,43.3913,-72.0576,loon,1.5,24.110000000000007,edi.499.2,8,2015-08-03 15:50:00+00:00,-1 days +23:42:31.019000,-1049
231073,2015-08-03 11:00:00,43.3913,-72.0576,loon,1.5,24.110000000000007,edi.499.2,8,2015-08-03 16:00:00+00:00,-1 days +23:32:31.019000,-1649
396507,2015-08-03 11:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.4,23.32,edi.498.1,8,2015-08-03 16:00:00+00:00,-1 days +23:32:31.019000,-1649
428860,2015-08-03 11:00:00,43.3446,-72.0438,SouthOfTheFells,1.4,23.66,edi.498.1,8,2015-08-03 16:00:00+00:00,-1 days +23:32:31.019000,-1649
455967,2015-08-03 11:00:00,43.3235,-72.0411,Newbury,1.5,23.68,edi.498.1,8,2015-08-03 16:00:00+00:00,-1 days +23:32:31.019000,-1649
482637,2015-08-03 11:00:00,43.4096,-72.0365,HerrickCoveSouth,1.4,24.52,edi.498.1,8,2015-08-03 16:00:00+00:00,-1 days +23:32:31.019000,-1649
