,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_utc,dt_delta,delta_secs
55293,2008-08-07 10:00:00,43.3913,-72.0576,loon,0.5,22.25,edi.499.2,8,2008-08-07 15:00:00+00:00,0 days 00:22:06.248000,1326
55294,2008-08-07 10:10:00,43.3913,-72.0576,loon,0.5,22.630000000000003,edi.499.2,8,2008-08-07 15:10:00+00:00,0 days 00:12:06.248000,726
55295,2008-08-07 10:20:00,43.3913,-72.0576,loon,0.5,22.56,edi.499.2,8,2008-08-07 15:20:00+00:00,0 days 00:02:06.248000,126
55296,2008-08-07 10:30:00,43.3913,-72.0576,loon,0.5,22.6,edi.499.2,8,2008-08-07 15:30:00+00:00,-1 days +23:52:06.248000,-474
55297,2008-08-07 10:40:00,43.3913,-72.0576,loon,0.5,22.69,edi.499.2,8,2008-08-07 15:40:00+00:00,-1 days +23:42:06.248000,-1074
55298,2008-08-07 10:50:00,43.3913,-72.0576,loon,0.5,22.41,edi.499.2,8,2008-08-07 15:50:00+00:00,-1 days +23:32:06.248000,-1674
373844,2008-08-07 10:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.5,21.97,edi.498.1,8,2008-08-07 15:00:00+00:00,0 days 00:22:06.248000,1326
406197,2008-08-07 10:00:00,43.3446,-72.0438,SouthOfTheFells,1.5,21.46,edi.498.1,8,2008-08-07 15:00:00+00:00,0 days 00:22:06.248000,1326
433304,2008-08-07 10:00:00,43.3235,-72.0411,Newbury,1.5,20.5,edi.498.1,8,2008-08-07 15:00:00+00:00,0 days 00:22:06.248000,1326
465657,2008-08-07 10:00:00,43.4096,-72.0365,HerrickCoveSouth,1.5,22.17,edi.498.1,8,2008-08-07 15:00:00+00:00,0 days 00:22:06.248000,1326
