,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_utc,dt_delta,delta_secs
27865,2007-08-29 10:00:00,43.3913,-72.0576,loon,0.5,23.05,edi.499.2,8,2007-08-29 15:00:00+00:00,0 days 00:26:05.072000,1565
27866,2007-08-29 10:10:00,43.3913,-72.0576,loon,0.5,23.31,edi.499.2,8,2007-08-29 15:10:00+00:00,0 days 00:16:05.072000,965
27867,2007-08-29 10:20:00,43.3913,-72.0576,loon,0.5,23.33,edi.499.2,8,2007-08-29 15:20:00+00:00,0 days 00:06:05.072000,365
27868,2007-08-29 10:30:00,43.3913,-72.0576,loon,0.5,23.41,edi.499.2,8,2007-08-29 15:30:00+00:00,-1 days +23:56:05.072000,-235
27869,2007-08-29 10:40:00,43.3913,-72.0576,loon,0.5,23.110000000000003,edi.499.2,8,2007-08-29 15:40:00+00:00,-1 days +23:46:05.072000,-835
27870,2007-08-29 10:50:00,43.3913,-72.0576,loon,0.5,23.110000000000003,edi.499.2,8,2007-08-29 15:50:00+00:00,-1 days +23:36:05.072000,-1435
372096,2007-08-29 10:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.5,22.3,edi.498.1,8,2007-08-29 15:00:00+00:00,0 days 00:26:05.072000,1565
404449,2007-08-29 10:00:00,43.3446,-72.0438,SouthOfTheFells,1.5,22.46,edi.498.1,8,2007-08-29 15:00:00+00:00,0 days 00:26:05.072000,1565
431556,2007-08-29 10:00:00,43.3235,-72.0411,Newbury,1.5,21.83,edi.498.1,8,2007-08-29 15:00:00+00:00,0 days 00:26:05.072000,1565
463909,2007-08-29 10:00:00,43.4096,-72.0365,HerrickCoveSouth,1.5,22.34,edi.498.1,8,2007-08-29 15:00:00+00:00,0 days 00:26:05.072000,1565
