,system:index,availablePixels_count,cloudcover_pct_scene,datetime_landsat,esd_au_scene,lakeCoverage_pct,sunazi_deg_scene,sunelev_deg_scene,surface_temp_kurtosis,surface_temp_max,surface_temp_mean,surface_temp_median,surface_temp_min,surface_temp_p25,surface_temp_p75,surface_temp_skew,surface_temp_stdDev,.geo,landsat_time_utc,scene,is_temp_avg,is_temp_stdev,is_depth_avg,is_depth_stdev,is_temp_med,insitu_count,HerrickCoveSouth_median,HerrickCoveSouth_mean,HerrickCoveSouth_std,HerrickCoveSouth_count,Newbury_median,Newbury_mean,Newbury_std,Newbury_count,NorthSunapeeHarbor_median,NorthSunapeeHarbor_mean,NorthSunapeeHarbor_std,NorthSunapeeHarbor_count,SouthOfTheFells_median,SouthOfTheFells_mean,SouthOfTheFells_std,SouthOfTheFells_count,loon_median,loon_mean,loon_std,loon_count,harbor_median,harbor_mean,harbor_std,harbor_count,GeorgesMills_median,GeorgesMills_mean,GeorgesMills_std,GeorgesMills_count,HerrickCove_median,HerrickCove_mean,HerrickCove_std,HerrickCove_count,StateBeach_median,StateBeach_mean,StateBeach_std,StateBeach_count
0,1_1_2_1_LT05_013030_20060725,17194,15.0,1153841164693.0,1.0157178,100.16894844159629,134.22257343,59.77714192,8.366377413475352,33.926588960000004,23.99684157877438,24.09598396861453,22.568508500000007,23.290055857419716,24.134908752826515,2.154053112274724,0.947183575145196,"{""type"":""MultiPoint"",""coordinates"":[]}",2006-07-25 15:26:04.693000+00:00,LT05_013030_20060725,23.89,,1.5,,23.89,1.0,23.89,23.89,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1_1_2_1_LT05_013030_20060911,16605,3.0,1157988398218.0,1.0066447,96.73754733469268,149.88598224,47.44752268,0.7608976595192627,22.30190293999999,15.704214582594505,15.839371477907454,11.924794220000024,15.15441537380673,16.367239177609775,-0.0360792134562536,0.8803882993348329,"{""type"":""MultiPoint"",""coordinates"":[]}",2006-09-11 15:26:38.218000+00:00,LT05_013030_20060911,18.77,,1.5,,18.77,1.0,18.77,18.77,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1_1_2_1_LT05_013030_20070712,8247,15.0,1184253995703.0,1.0165832,48.04544130498107,131.99929322,61.91173813,5.536503199805141,30.204365180000025,21.502369734582388,21.47576427231801,19.59141308000005,20.91218658311622,21.942159393446243,1.560020093959784,0.9766308265318396,"{""type"":""MultiPoint"",""coordinates"":[]}",2007-07-12 15:26:35.703000+00:00,LT05_013030_20070712,21.11,0.50616202939375,1.5,0.0,20.965,4.0,21.84,21.84,,1.0,20.67,20.67,,1.0,20.97,20.97,,1.0,20.96,20.96,,1.0,,,,,,,,,,,,,,,,,,,,
9,1_1_2_1_LT05_013030_20070813,12865,49.0,1187018776380.0,1.0131619,74.94902417710458,139.75161244,55.7917812,7.745303627028958,30.952911560000015,24.0036506475248,24.017116158764587,21.720839540000043,23.394883877126837,24.156332540816795,2.00907243877362,0.8247800095530944,"{""type"":""MultiPoint"",""coordinates"":[]}",2007-08-13 15:26:16.380000+00:00,LT05_013030_20070813,23.752500000000005,0.37739236876227467,1.5,0.0,23.745,4.0,24.21,24.21,,1.0,23.85,23.85,,1.0,23.31,23.31,,1.0,23.64,23.64,,1.0,,,,,,,,,,,,,,,,,,,,
10,1_1_2_1_LT05_013030_20070829,17194,1.0,1188401165072.0,1.009913,100.16894844159629,145.20798098,51.47234426,9.645421672856228,32.251759160000006,23.52276721205573,23.218644082026252,22.36342730000001,23.09894002631296,23.803919122500865,2.368512312133936,0.8371626007293079,"{""type"":""MultiPoint"",""coordinates"":[]}",2007-08-29 15:26:05.072000+00:00,LT05_013030_20070829,22.825000000000003,0.5456545508734342,0.9,0.5163977794943222,23.080000000000002,10.0,22.34,22.34,,1.0,21.83,21.83,,1.0,22.3,22.3,,1.0,22.46,22.46,,1.0,23.21,23.22,0.14791889669680344,6.0,,,,,,,,,,,,,,,,
11,1_1_2_1_LT05_013030_20070914,17138,30.0,1189783559297.0,1.0059195,99.84270317506554,150.54677068,46.49819316,15.768612343529146,26.67355052000005,19.32338331596828,19.13261484988373,18.38485202000004,18.989573154365825,19.734871571751185,2.636757853273138,0.5072659045435323,"{""type"":""MultiPoint"",""coordinates"":[]}",2007-09-14 15:25:59.297000+00:00,LT05_013030_20070914,19.508000000000003,0.19469634476966116,0.9,0.5163977794943222,19.59,10.0,19.71,19.71,,1.0,19.37,19.37,,1.0,19.18,19.18,,1.0,19.18,19.18,,1.0,19.62,19.606666666666666,0.03932768321000832,6.0,,,,,,,,,,,,,,,,
12,1_1_2_1_LT05_013030_20080511,17194,0.0,1210519290840.0,1.0101572,100.16894844159629,137.91458057,59.17399627,5.474524763537241,25.59345619999999,11.26816164653692,10.803466496944878,9.005805140000007,10.25354273558518,11.739014010716986,2.0836354952581355,1.673383207189238,"{""type"":""MultiPoint"",""coordinates"":[]}",2008-05-11 15:21:30.840000+00:00,LT05_013030_20080511,10.456666666666667,0.3565202191554734,0.5,0.0,10.475,6.0,,,,,,,,,,,,,,,,,10.475,10.456666666666667,0.3565202191554736,6.0,,,,,,,,,,,,,,,,
13,1_1_2_1_LT05_013030_20080612,17194,1.0,1213284039651.0,1.015551,100.16894844159629,130.20899042,62.82824199,1.0153051101383932,31.48954070000002,20.52173008128728,20.32118020256313,16.757874500000014,19.79976239709968,21.44707273448724,0.0594074113098911,1.3032925506562254,"{""type"":""MultiPoint"",""coordinates"":[]}",2008-06-12 15:20:39.651000+00:00,LT05_013030_20080612,20.23,0.03847076812334242,0.5,0.0,20.225,6.0,,,,,,,,,,,,,,,,,20.225,20.23,0.038470768123341714,6.0,,,,,,,,,,,,,,,,
14,1_1_2_1_LT05_013030_20080831,10100,6.0,1220195902672.0,1.0092744,58.84066414214972,143.34253844,49.79288004,14.37082420052338,29.185795220000045,21.529958882838667,21.436427937019555,19.01034967999999,21.29587870869518,21.89381133021053,2.4947095332641345,0.6576788865536016,"{""type"":""MultiPoint"",""coordinates"":[]}",2008-08-31 15:18:22.672000+00:00,LT05_013030_20080831,21.048,0.32341236147611196,0.9,0.5163977794943222,20.955,10.0,21.84,21.84,,1.0,21.33,21.33,,1.0,20.64,20.64,,1.0,20.96,20.96,,1.0,20.945,20.951666666666668,0.030605010483034552,6.0,,,,,,,,,,,,,,,,
15,1_1_2_1_LT05_013030_20081018,8754,9.0,1224343013316.0,0.9961141,50.99912612875036,156.56749226,33.98145804,0.3407727246640157,15.10697084000003,10.910195857601003,11.314387351260562,4.066766239999993,9.7137897305856,12.367410291558784,-1.0106205342865804,1.7965076572365188,"{""type"":""MultiPoint"",""coordinates"":[]}",2008-10-18 15:16:53.316000+00:00,LT05_013030_20081018,13.875,0.058566201857384974,0.5,0.0,13.879999999999999,6.0,,,,,,,,,,,,,,,,,13.879999999999999,13.875,0.058566201857384814,6.0,,,,,,,,,,,,,,,,
