,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_ms
250053,2016-06-18 15:10:00,43.3913,-72.0576,loon,1.5,19.919999999999995,edi.499.2,6,1466262600000.0
250054,2016-06-18 15:20:00,43.3913,-72.0576,loon,1.5,19.73,edi.499.2,6,1466263200000.0
250055,2016-06-18 15:30:00,43.3913,-72.0576,loon,1.5,20.55,edi.499.2,6,1466263800000.0
250056,2016-06-18 15:40:00,43.3913,-72.0576,loon,1.5,19.759999999999994,edi.499.2,6,1466264400000.0
250057,2016-06-18 15:50:00,43.3913,-72.0576,loon,1.5,19.95,edi.499.2,6,1466265000000.0
250058,2016-06-18 16:00:00,43.3913,-72.0576,loon,1.5,19.99,edi.499.2,6,1466265600000.0
398183,2016-06-18 16:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.5,18.54,edi.498.1,6,1466265600000.0
432978,2016-06-18 16:00:00,43.3446,-72.0438,SouthOfTheFells,1.6,19.36,edi.498.1,6,1466265600000.0
467773,2016-06-18 16:00:00,43.3235,-72.0411,Newbury,1.4,19.53,edi.498.1,6,1466265600000.0
502568,2016-06-18 16:00:00,43.4096,-72.0365,HerrickCoveSouth,1.7,17.09,edi.498.1,6,1466265600000.0
