,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_ms
50715,2008-07-06 15:00:00,43.3913,-72.0576,loon,0.5,24.0,edi.499.2,7,1215356400000.0
50716,2008-07-06 15:10:00,43.3913,-72.0576,loon,0.5,23.88,edi.499.2,7,1215357000000.0
50717,2008-07-06 15:20:00,43.3913,-72.0576,loon,0.5,23.95,edi.499.2,7,1215357600000.0
50718,2008-07-06 15:30:00,43.3913,-72.0576,loon,0.5,24.0,edi.499.2,7,1215358200000.0
50719,2008-07-06 15:40:00,43.3913,-72.0576,loon,0.5,23.94,edi.499.2,7,1215358800000.0
50720,2008-07-06 15:50:00,43.3913,-72.0576,loon,0.5,24.0,edi.499.2,7,1215359400000.0
373081,2008-07-06 15:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.5,23.14,edi.498.1,7,1215356400000.0
407876,2008-07-06 15:00:00,43.3446,-72.0438,SouthOfTheFells,1.5,22.130000000000006,edi.498.1,7,1215356400000.0
442671,2008-07-06 15:00:00,43.3235,-72.0411,Newbury,1.5,21.99,edi.498.1,7,1215356400000.0
477466,2008-07-06 15:00:00,43.4096,-72.0365,HerrickCoveSouth,1.5,23.34,edi.498.1,7,1215356400000.0
