,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_ms
78388,2009-09-19 15:00:00,43.3913,-72.0576,loon,1.0,17.99,edi.499.2,9,1253372400000.0
78389,2009-09-19 15:10:00,43.3913,-72.0576,loon,1.0,17.959999999999994,edi.499.2,9,1253373000000.0
78390,2009-09-19 15:20:00,43.3913,-72.0576,loon,1.0,18.02,edi.499.2,9,1253373600000.0
78391,2009-09-19 15:30:00,43.3913,-72.0576,loon,1.0,17.99,edi.499.2,9,1253374200000.0
78392,2009-09-19 15:40:00,43.3913,-72.0576,loon,1.0,17.959999999999994,edi.499.2,9,1253374800000.0
78393,2009-09-19 15:50:00,43.3913,-72.0576,loon,1.0,17.959999999999994,edi.499.2,9,1253375400000.0
380621,2009-09-19 15:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.5,17.89,edi.498.1,9,1253372400000.0
380622,2009-09-19 15:30:00,43.3948,-72.079,NorthSunapeeHarbor,1.5,17.89,edi.498.1,9,1253374200000.0
415416,2009-09-19 15:00:00,43.3446,-72.0438,SouthOfTheFells,1.5,17.56,edi.498.1,9,1253372400000.0
415417,2009-09-19 15:30:00,43.3446,-72.0438,SouthOfTheFells,1.5,17.56,edi.498.1,9,1253374200000.0
450211,2009-09-19 15:00:00,43.3235,-72.0411,Newbury,1.5,17.43,edi.498.1,9,1253372400000.0
450212,2009-09-19 15:30:00,43.3235,-72.0411,Newbury,1.5,17.59,edi.498.1,9,1253374200000.0
485006,2009-09-19 15:00:00,43.4096,-72.0365,HerrickCoveSouth,1.5,17.610000000000007,edi.498.1,9,1253372400000.0
485007,2009-09-19 15:30:00,43.4096,-72.0365,HerrickCoveSouth,1.5,17.610000000000007,edi.498.1,9,1253374200000.0
