"date","unimodal","tot_pix","perc_lake"
1985-09-01,"unimodal",17193,72.73
1985-09-17,"unimodal",17188,72.71
1985-11-20,"unimodal",16264,68.8
1986-05-15,"not unimodal",17193,72.73
1986-10-22,"not unimodal",17181,72.68
1986-11-23,"unimodal",533,2.25
1987-05-02,"unimodal",17193,72.73
1987-05-26,"unimodal",17193,72.73
1987-07-05,"unimodal",17193,72.73
1987-08-06,"unimodal",17193,72.73
1987-10-09,"unimodal",17193,72.73
1987-10-25,"unimodal",16545,69.99
1988-06-05,"unimodal",17193,72.73
1988-06-21,"unimodal",17129,72.46
1988-07-23,"not unimodal",10461,44.25
1988-09-09,"unimodal",17136,72.49
1988-09-25,"unimodal",17193,72.73
1988-10-11,"unimodal",6029,25.5
1988-10-27,"unimodal",17191,72.72
1988-11-12,"unimodal",17191,72.72
1989-05-07,"unimodal",14490,61.29
1989-08-19,"unimodal",16277,68.85
1989-08-27,"unimodal",17193,72.73
1989-09-28,"unimodal",17193,72.73
1989-10-14,"not unimodal",17191,72.72
1989-10-30,"unimodal",17173,72.64
1990-05-26,"unimodal",16524,69.9
1990-06-27,"unimodal",17193,72.73
1990-07-21,"not unimodal",13156,55.65
1990-07-29,"unimodal",16248,68.73
1990-08-30,"unimodal",17193,72.73
1990-10-01,"unimodal",15443,65.33
1990-10-17,"unimodal",16643,70.4
1990-11-18,"unimodal",7651,32.36
1991-05-13,"unimodal",17193,72.73
1991-07-16,"unimodal",17053,72.14
1991-09-02,"unimodal",17193,72.73
1991-09-18,"unimodal",16088,68.05
1991-10-04,"unimodal",16983,71.84
1991-11-05,"not unimodal",15870,67.13
1992-05-15,"unimodal",15653,66.21
1992-06-16,"unimodal",17193,72.73
1992-08-19,"unimodal",13291,56.22
1992-09-20,"unimodal",17193,72.73
1992-10-06,"unimodal",17191,72.72
1992-10-22,"unimodal",10378,43.9
1992-11-07,"unimodal",6553,27.72
1993-05-02,"unimodal",17193,72.73
1993-06-03,"unimodal",11745,49.68
1993-07-05,"unimodal",17193,72.73
1993-07-21,"unimodal",6308,26.68
1993-08-06,"not unimodal",16659,70.47
1993-09-07,"unimodal",7546,31.92
1993-10-25,"unimodal",16192,68.49
1993-11-10,"unimodal",17189,72.71
1993-11-26,"unimodal",14709,62.22
1994-05-21,"unimodal",17193,72.73
1994-06-22,"unimodal",17182,72.68
1994-08-25,"unimodal",17193,72.73
1994-09-10,"unimodal",13136,55.57
1994-10-12,"unimodal",17193,72.73
1994-10-28,"unimodal",17193,72.73
1994-11-13,"unimodal",17190,72.72
1994-11-29,"unimodal",17088,72.28
1995-05-08,"unimodal",10169,43.02
1995-08-28,"unimodal",8283,35.04
1995-09-29,"unimodal",17193,72.73
1995-11-16,"unimodal",16686,70.58
1996-05-26,"unimodal",17076,72.23
1996-08-14,"unimodal",17150,72.55
1996-08-30,"not unimodal",17193,72.73
1996-09-15,"unimodal",15822,66.93
1996-10-01,"unimodal",17193,72.73
1996-10-17,"unimodal",17069,72.2
1996-11-02,"unimodal",17137,72.49
1997-06-14,"unimodal",13263,56.1
1997-06-30,"unimodal",17192,72.72
1997-11-05,"unimodal",17151,72.55
1998-05-16,"unimodal",17193,72.73
1998-07-03,"unimodal",12409,52.49
1998-08-20,"unimodal",6673,28.23
1998-11-08,"unimodal",9974,42.19
1999-06-04,"unimodal",12167,51.47
1999-06-20,"not unimodal",9883,41.81
1999-07-22,"unimodal",14648,61.96
1999-08-07,"unimodal",16952,71.71
1999-08-23,"unimodal",17193,72.73
1999-08-31,"unimodal",17193,72.73
1999-09-24,"unimodal",17193,72.73
1999-10-02,"unimodal",17193,72.73
1999-10-26,"unimodal",17193,72.73
1999-11-11,"unimodal",17192,72.72
2000-06-22,"unimodal",11845,50.11
2000-06-30,"unimodal",8774,37.12
2000-07-08,"unimodal",17009,71.95
2000-08-25,"unimodal",17138,72.5
2000-09-10,"unimodal",17193,72.73
2000-09-18,"unimodal",17148,72.54
2000-10-12,"unimodal",17193,72.73
2000-10-20,"unimodal",17193,72.73
