"","temp_degC","date","count"
"1",14.7,1985-09-01,132
"2",15.1,1985-09-01,567
"3",15.6,1985-09-01,769
"4",16.1,1985-09-01,1689
"5",16.5,1985-09-01,3059
"6",17,1985-09-01,6018
"7",17.4,1985-09-01,4652
"8",17.9,1985-09-01,286
"9",18.3,1985-09-01,12
"10",18.8,1985-09-01,6
"11",19.2,1985-09-01,2
"12",20.1,1985-09-01,1
"13",12.8,1985-09-17,2
"14",13.3,1985-09-17,2
"15",13.7,1985-09-17,11
"16",14.2,1985-09-17,233
"17",14.7,1985-09-17,3941
"18",15.1,1985-09-17,9138
"19",15.6,1985-09-17,3529
"20",16.1,1985-09-17,246
"21",16.5,1985-09-17,59
"22",17,1985-09-17,16
"23",17.4,1985-09-17,7
"24",17.9,1985-09-17,4
"25",7.9,1985-11-20,233
"26",8.4,1985-11-20,6098
"27",8.9,1985-11-20,6731
"28",9.4,1985-11-20,1405
"29",9.9,1985-11-20,865
"30",10.4,1985-11-20,552
"31",10.9,1985-11-20,261
"32",11.4,1985-11-20,88
"33",11.8,1985-11-20,24
"34",12.3,1985-11-20,4
"35",12.8,1985-11-20,3
"36",3.9,1986-05-15,9
"37",4.4,1986-05-15,8
"38",4.9,1986-05-15,25
"39",5.4,1986-05-15,31
"40",6,1986-05-15,82
"41",6.5,1986-05-15,72
"42",7,1986-05-15,75
"43",7.5,1986-05-15,121
"44",7.9,1986-05-15,483
"45",8.4,1986-05-15,1642
"46",8.9,1986-05-15,2211
"47",9.4,1986-05-15,2766
"48",9.9,1986-05-15,2394
"49",10.4,1986-05-15,2442
"50",10.9,1986-05-15,2181
"51",11.4,1986-05-15,1186
"52",11.8,1986-05-15,537
"53",12.3,1986-05-15,389
"54",12.8,1986-05-15,220
"55",13.3,1986-05-15,127
"56",13.7,1986-05-15,80
"57",14.2,1986-05-15,50
"58",14.7,1986-05-15,29
"59",15.1,1986-05-15,19
"60",15.6,1986-05-15,8
"61",16.1,1986-05-15,4
"62",16.5,1986-05-15,2
"63",4.9,1986-10-22,21
"64",5.4,1986-10-22,689
"65",6,1986-10-22,1662
"66",6.5,1986-10-22,1189
"67",7,1986-10-22,5714
"68",7.5,1986-10-22,5579
"69",7.9,1986-10-22,1986
"70",8.4,1986-10-22,296
"71",8.9,1986-10-22,42
"72",9.4,1986-10-22,3
"73",0.3,1986-11-23,453
"74",0.8,1986-11-23,77
"75",1.3,1986-11-23,3
"76",4.9,1987-05-02,643
"77",5.4,1987-05-02,7867
"78",6,1987-05-02,4258
"79",6.5,1987-05-02,1527
"80",7,1987-05-02,879
"81",7.5,1987-05-02,637
"82",7.9,1987-05-02,431
"83",8.4,1987-05-02,281
"84",8.9,1987-05-02,223
"85",9.4,1987-05-02,167
"86",9.9,1987-05-02,107
"87",10.4,1987-05-02,85
"88",10.9,1987-05-02,51
"89",11.4,1987-05-02,18
"90",11.8,1987-05-02,9
"91",12.3,1987-05-02,4
"92",12.8,1987-05-02,4
"93",13.3,1987-05-02,1
"94",15.1,1987-05-02,1
"95",15.4,1987-05-26,653
"96",15.9,1987-05-26,1587
"97",16.3,1987-05-26,3062
"98",16.8,1987-05-26,4127
"99",17.2,1987-05-26,2476
"100",17.6,1987-05-26,1714
"101",18.1,1987-05-26,1704
"102",18.5,1987-05-26,1133
"103",19,1987-05-26,350
"104",19.4,1987-05-26,205
"105",19.8,1987-05-26,101
"106",20.3,1987-05-26,45
"107",20.7,1987-05-26,19
"108",21.1,1987-05-26,9
"109",21.5,1987-05-26,3
"110",22,1987-05-26,3
"111",22.4,1987-05-26,1
"112",24.5,1987-05-26,1
"113",16.5,1987-07-05,1433
"114",17,1987-07-05,7383
"115",17.4,1987-07-05,6131
"116",17.9,1987-07-05,1197
"117",18.3,1987-07-05,593
"118",18.8,1987-07-05,255
"119",19.2,1987-07-05,111
"120",19.7,1987-07-05,52
"121",20.1,1987-07-05,20
"122",20.6,1987-07-05,8
"123",21,1987-07-05,7
"124",21.5,1987-07-05,2
"125",21.9,1987-07-05,1
"126",17.4,1987-08-06,4
"127",17.9,1987-08-06,2516
"128",18.3,1987-08-06,11864
"129",18.8,1987-08-06,2540
"130",19.2,1987-08-06,198
"131",19.7,1987-08-06,46
"132",20.1,1987-08-06,17
"133",20.6,1987-08-06,5
"134",21,1987-08-06,1
"135",21.5,1987-08-06,1
"136",22.8,1987-08-06,1
"137",6.5,1987-10-09,4
"138",7,1987-10-09,30
"139",7.5,1987-10-09,134
"140",7.9,1987-10-09,411
"141",8.4,1987-10-09,951
"142",8.9,1987-10-09,1874
"143",9.4,1987-10-09,9872
"144",9.9,1987-10-09,3907
"145",10.4,1987-10-09,10
"146",2.4,1987-10-25,3
"147",2.9,1987-10-25,9
"148",3.4,1987-10-25,13
"149",3.9,1987-10-25,37
"150",4.4,1987-10-25,53
"151",4.9,1987-10-25,89
"152",5.4,1987-10-25,119
"153",6,1987-10-25,187
"154",6.5,1987-10-25,234
"155",7,1987-10-25,471
"156",7.5,1987-10-25,841
"157",7.9,1987-10-25,3182
"158",8.4,1987-10-25,7461
"159",8.9,1987-10-25,3830
"160",9.4,1987-10-25,16
"161",11.4,1988-06-05,2
"162",11.8,1988-06-05,1735
"163",12.3,1988-06-05,5541
"164",12.8,1988-06-05,5233
"165",13.3,1988-06-05,2591
"166",13.7,1988-06-05,885
"167",14.2,1988-06-05,498
"168",14.7,1988-06-05,322
"169",15.1,1988-06-05,184
"170",15.6,1988-06-05,102
"171",16.1,1988-06-05,52
"172",16.5,1988-06-05,29
"173",17,1988-06-05,11
"174",17.4,1988-06-05,6
"175",17.9,1988-06-05,1
"176",18.3,1988-06-05,1
"177",10.4,1988-06-21,57
"178",10.9,1988-06-21,263
"179",11.4,1988-06-21,524
"180",11.8,1988-06-21,848
"181",12.3,1988-06-21,1282
"182",12.8,1988-06-21,3311
"183",13.3,1988-06-21,6554
"184",13.7,1988-06-21,3001
"185",14.2,1988-06-21,788
"186",14.7,1988-06-21,334
"187",15.1,1988-06-21,104
