,system:index,azimuth,cloud_cover,elev,emiss,esd,l_exceltime,landsat_time,pct_lake,pixel_count,surface_temp_count,surface_temp_max,surface_temp_mean,surface_temp_median,surface_temp_min,surface_temp_p25,surface_temp_p75,surface_temp_skew,surface_temp_stdDev,sza,v_exceltime,vapor_time,water_column,scene,temp_avg,t_stdev,depth_avg,d_stdev,temp_med,insitu_count,HerrickCoveSouth_median,HerrickCoveSouth_mean,HerrickCoveSouth_std,HerrickCoveSouth_count,Newbury_median,Newbury_mean,Newbury_std,Newbury_count,NorthSunapeeHarbor_median,NorthSunapeeHarbor_mean,NorthSunapeeHarbor_std,NorthSunapeeHarbor_count,SouthOfTheFells_median,SouthOfTheFells_mean,SouthOfTheFells_std,SouthOfTheFells_count,loon_median,loon_mean,loon_std,loon_count,harbor_median,harbor_mean,harbor_std,harbor_count,GeorgesMills_median,GeorgesMills_mean,GeorgesMills_std,GeorgesMills_count,HerrickCove_median,HerrickCove_mean,HerrickCove_std,HerrickCove_count,StateBeach_median,StateBeach_mean,StateBeach_std,StateBeach_count
149,1_1_2_1_LT05_013030_20060911,149.88599,3.0,47.447520000000004,0.9779510005476144,1.0066447,38971.643497916666,1157988398220.0,0.7219966159052453,17068,17990,17.03007323746295,13.275664058891733,13.313599550204005,6.0015553607999825,12.840612346201477,13.784654346737044,-1.7235054275013375,0.8669313990083942,42.5524787902832,38971.75,1157997600000,0.9399993896484377,LT05_013030_20060911,18.93,,1.5,,18.93,1.0,18.93,18.93,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,1_1_2_1_LT05_013030_20070712,131.9993,15.0,61.91174,0.9779510005476144,1.0165832000000001,39275.64346875,1184253995700.0,0.5128595600676819,12124,12807,25.003266309475773,17.64416831062089,17.94196202855809,9.96018058630892,17.487032074110154,17.94196202855809,-1.4593771910124198,1.1411734643211495,28.08826065063477,39275.75,1184263200000,1.5,LT05_013030_20070712,21.07,0.6611101774036371,1.5,0.0,20.9,4.0,22.01,22.01,,1.0,20.83,20.83,,1.0,20.97,20.97,,1.0,20.47,20.47,,1.0,,,,,,,,,,,,,,,,,,,,
160,1_2_1_LE07_013030_20070805,135.72513,0.0,57.131466,0.9779510005476144,1.0144331,39299.64096736111,1186327379580.0,0.6235194585448393,14740,15539,24.898837965113703,21.375608225340553,21.321013179551887,18.700032394759415,21.321013179551887,21.321013179551887,0.052667487056322376,0.3484564679420008,32.86853408813477,39299.75,1186336800000,1.4600006103515626,LE07_013030_20070805,24.9225,0.5796766339951972,1.5,0.0,24.97,4.0,25.42,25.42,,1.0,25.42,25.42,,1.0,24.52,24.52,,1.0,24.33,24.33,,1.0,,,,,,,,,,,,,,,,,,,,
161,1_1_2_1_LT05_013030_20070813,139.75162,49.0,55.791782,0.9779510005476144,1.0131619,39307.64324513889,1187018776380.0,0.6539763113367174,15460,16297,22.83831579542032,18.78006159857417,18.846637985290727,15.186377193915849,18.395132084532143,18.846637985290727,0.10030817873507908,0.5447361079121894,34.20821762084961,39307.75,1187028000000,1.470001220703125,LT05_013030_20070813,23.752500000000005,0.37739236876227467,1.5,0.0,23.745,4.0,24.21,24.21,,1.0,23.85,23.85,,1.0,23.31,23.31,,1.0,23.64,23.64,,1.0,,,,,,,,,,,,,,,,,,,,
162,1_1_2_1_LT05_013030_20070914,150.54677,30.0,46.49819,0.9779510005476144,1.0059195,39339.643047453705,1189783559300.0,0.7272842639593908,17193,18138,20.194231112822926,16.37763138926394,16.572249523774342,15.649853508995745,16.111924942465492,16.572249523774342,1.2958240113168031,0.3303710187915745,43.501808166503906,39339.75,1189792800000,2.0899993896484377,LT05_013030_20070914,19.643000000000004,0.20077903830385835,0.9,0.5163977794943222,19.75,10.0,19.71,19.71,,1.0,19.37,19.37,,1.0,19.67,19.67,,1.0,19.18,19.18,,1.0,19.75,19.75,0.0,6.0,,,,,,,,,,,,,,,,
163,1_2_1_LE07_013030_20071125,161.08498,37.0,23.810648,0.9779510005476144,0.9871101000000001,39411.64103900463,1196004185770.0,0.6338409475465313,14984,15783,4.010672155335049,2.4446235401713885,2.1785458325580067,-2.87842486833279,2.1785458325580067,2.7929139344401515,-1.4820846595905264,0.6525937615964197,66.18935203552246,39411.75,1196013600000,1.05,LE07_013030_20071125,5.96,0.048989794855663245,0.5833333333333334,0.2041241452319315,5.94,6.0,,,,,,,,,,,,,,,,,5.94,5.96,0.04898979485566324,6.0,,,,,,,,,,,,,,,,
164,1_1_2_1_LT05_013030_20080511,137.91458,0.0,59.173995999999995,0.9779510005476144,1.0101572,39579.639940277775,1210519290840.0,0.7272842639593908,17193,18138,19.295064020794705,9.479160498405523,8.984369181091296,7.503188157461972,8.984369181091296,9.96089635481624,2.0090831732548127,1.3652909732722789,30.82600402832031,39579.75,1210528800000,0.7399993896484376,LT05_013030_20080511,10.128333333333332,0.0904249228181407,0.5,0.0,10.09,6.0,,,,,,,,,,,,,,,,,10.09,10.128333333333332,0.09042492281813998,6.0,,,,,,,,,,,,,,,,
165,1_1_2_1_LT05_013030_20080612,130.20898,1.0,62.82824300000001,0.9779510005476144,1.015551,39611.639347800934,1213284039650.0,0.7272842639593908,17193,18138,25.42442273388482,17.473697419285468,17.486264430024242,15.186461506144955,17.029864222204367,17.940972923212907,0.04639559832819076,0.8068826115423156,27.17175674438477,39611.75,1213293600000,0.5600006103515626,LT05_013030_20080612,20.349999999999998,0.04195235392680601,0.5,0.0,20.35,6.0,,,,,,,,,,,,,,,,,20.35,20.349999999999998,0.04195235392680607,6.0,,,,,,,,,,,,,,,,
166,1_2_1_LE07_013030_20080706,129.53622,27.0,61.854122,0.9779510005476144,1.0166966999999998,39635.640555555554,1215357744000.0,0.6106175972927242,14435,15212,25.91261850004035,20.41728396047521,20.282241971318236,16.56129718145403,20.282241971318236,20.804646802246662,0.7305898684069498,0.7047431411562679,28.14587783813477,39635.75,1215367200000,2.0899993896484377,LE07_013030_20080706,23.436999999999998,0.7862011334399238,0.9,0.5163977794943222,23.91,10.0,23.34,23.34,,1.0,21.99,21.99,,1.0,23.14,23.14,,1.0,22.130000000000006,22.130000000000006,,1.0,23.975,23.961666666666662,0.04833908011812664,6.0,,,,,,,,,,,,,,,,
167,1_1_2_1_LT05_013030_20080815,137.85106000000002,70.0,54.173134,0.9779510005476144,1.0126687,39675.638055902775,1218813528030.0,0.3231387478849408,7639,8012,17.030945622162847,13.972392492382054,14.25264735850029,9.471621025690542,13.312042091402386,14.72017809112486,-0.19352099664764516,1.0525466668817307,35.826866149902344,39675.75,1218823200000,2.2,LT05_013030_20080815,21.9,0.1344949400122121,0.9,0.5163977794943222,21.925,10.0,21.84,21.84,,1.0,22.16,22.16,,1.0,21.8,21.8,,1.0,21.630000000000006,21.630000000000006,,1.0,21.94,21.92833333333333,0.027868739954770707,6.0,,,,,,,,,,,,,,,,
168,1_2_1_LE07_013030_20080823,141.63443,6.0,52.3904,0.9779510005476144,1.0110754000000002,39683.640272800934,1219504919570.0,0.6284263959390863,14856,15671,25.414542211426934,19.478241511171888,19.231479552179152,18.170518607046173,19.231479552179152,19.758537909771352,1.7902770816668148,0.5392599690012909,37.60960006713867,39683.75,1219514400000,2.2899993896484374,LE07_013030_20080823,22.362000000000002,0.5839292194550062,0.9,0.5163977794943222,22.665,10.0,22.51,22.51,,1.0,21.49,21.49,,1.0,21.47,21.47,,1.0,21.630000000000006,21.630000000000006,,1.0,22.75,22.753333333333334,0.0850098033562397,6.0,,,,,,,,,,,,,,,,
169,1_1_2_1_LT05_013030_20080831,143.34253999999999,6.0,49.79288,0.9779510005476144,1.0092744,39691.637762384256,1220195902670.0,0.6234348561759729,14738,15528,23.275859081483606,17.855604654618585,17.942198461623608,8.98343265620093,17.942198461623608,18.39549321987895,-2.444158764294616,0.9167450990981342,40.20711898803711,39691.75,1220205600000,1.6600006103515623,LT05_013030_20080831,21.261,0.33972047333064764,0.9,0.5163977794943222,21.195,10.0,22.01,22.01,,1.0,21.49,21.49,,1.0,21.3,21.3,,1.0,20.630000000000006,20.630000000000006,,1.0,21.19,21.196666666666665,0.012110601416388653,6.0,,,,,,,,,,,,,,,,
