,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_ms
288824,2017-08-24 15:10:00,43.3913,-72.0576,loon,1.5,23.04,edi.499.2,8,1503587400000.0
288825,2017-08-24 15:20:00,43.3913,-72.0576,loon,1.5,22.99,edi.499.2,8,1503588000000.0
288826,2017-08-24 15:30:00,43.3913,-72.0576,loon,1.5,23.01,edi.499.2,8,1503588600000.0
288827,2017-08-24 15:40:00,43.3913,-72.0576,loon,1.5,22.99,edi.499.2,8,1503589200000.0
288828,2017-08-24 15:50:00,43.3913,-72.0576,loon,1.5,22.99,edi.499.2,8,1503589800000.0
288829,2017-08-24 16:00:00,43.3913,-72.0576,loon,1.5,22.99,edi.499.2,8,1503590400000.0
402309,2017-08-24 16:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.4,22.31,edi.498.1,8,1503590400000.0
437104,2017-08-24 16:00:00,43.3446,-72.0438,SouthOfTheFells,1.8,22.34,edi.498.1,8,1503590400000.0
471899,2017-08-24 16:00:00,43.3235,-72.0411,Newbury,1.5,22.5,edi.498.1,8,1503590400000.0
506694,2017-08-24 16:00:00,43.4096,-72.0365,HerrickCoveSouth,1.5,22.98,edi.498.1,8,1503590400000.0
