,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_ms
311974,2018-09-04 15:10:00,43.3913,-72.0576,loon,0.85,24.779999999999994,edi.499.2,9,1536073800000.0
311975,2018-09-04 15:15:00,43.3913,-72.0576,loon,0.25,23.54,edi.499.2,9,1536074100000.0
311976,2018-09-04 15:30:00,43.3913,-72.0576,loon,0.25,23.56,edi.499.2,9,1536075000000.0
311977,2018-09-04 15:45:00,43.3913,-72.0576,loon,0.25,23.58,edi.499.2,9,1536075900000.0
311978,2018-09-04 15:50:00,43.3913,-72.0576,loon,0.85,24.69,edi.499.2,9,1536076200000.0
311979,2018-09-04 16:00:00,43.3913,-72.0576,loon,0.25,23.62,edi.499.2,9,1536076800000.0
405087,2018-09-04 16:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.6,23.66,edi.498.1,9,1536076800000.0
439882,2018-09-04 16:00:00,43.3446,-72.0438,SouthOfTheFells,1.6,23.68,edi.498.1,9,1536076800000.0
474677,2018-09-04 16:00:00,43.3235,-72.0411,Newbury,1.6,24.02,edi.498.1,9,1536076800000.0
509472,2018-09-04 16:00:00,43.4096,-72.0365,HerrickCoveSouth,1.9,24.69,edi.498.1,9,1536076800000.0
546804,2018-09-04 15:10:00,43.4288,-72.0675,GeorgesMills,0.1,24.55,edi.395.2,9,1536073800000.0
546805,2018-09-04 15:10:00,43.4096,-72.033,HerrickCove,0.5,24.25,edi.395.2,9,1536073800000.0
546806,2018-09-04 15:10:00,43.3436,-72.0595,StateBeach,0.1,25.71,edi.395.2,9,1536073800000.0
546807,2018-09-04 15:20:00,43.4288,-72.0675,GeorgesMills,0.1,24.64,edi.395.2,9,1536074400000.0
546808,2018-09-04 15:20:00,43.4096,-72.033,HerrickCove,0.5,24.35,edi.395.2,9,1536074400000.0
546809,2018-09-04 15:20:00,43.3436,-72.0595,StateBeach,0.1,25.8,edi.395.2,9,1536074400000.0
546810,2018-09-04 15:30:00,43.4288,-72.0675,GeorgesMills,0.1,24.45,edi.395.2,9,1536075000000.0
546811,2018-09-04 15:30:00,43.4096,-72.033,HerrickCove,0.5,24.06,edi.395.2,9,1536075000000.0
546812,2018-09-04 15:30:00,43.3436,-72.0595,StateBeach,0.1,25.9,edi.395.2,9,1536075000000.0
546813,2018-09-04 15:40:00,43.4288,-72.0675,GeorgesMills,0.1,24.84,edi.395.2,9,1536075600000.0
546814,2018-09-04 15:40:00,43.4096,-72.033,HerrickCove,0.5,24.35,edi.395.2,9,1536075600000.0
546815,2018-09-04 15:40:00,43.3436,-72.0595,StateBeach,0.1,26.0,edi.395.2,9,1536075600000.0
546816,2018-09-04 15:50:00,43.4288,-72.0675,GeorgesMills,0.1,24.45,edi.395.2,9,1536076200000.0
546817,2018-09-04 15:50:00,43.4096,-72.033,HerrickCove,0.5,24.06,edi.395.2,9,1536076200000.0
546818,2018-09-04 15:50:00,43.3436,-72.0595,StateBeach,0.1,24.93,edi.395.2,9,1536076200000.0
546819,2018-09-04 16:00:00,43.4288,-72.0675,GeorgesMills,0.1,24.74,edi.395.2,9,1536076800000.0
546820,2018-09-04 16:00:00,43.4096,-72.033,HerrickCove,0.5,24.35,edi.395.2,9,1536076800000.0
546821,2018-09-04 16:00:00,43.3436,-72.0595,StateBeach,0.1,24.93,edi.395.2,9,1536076800000.0
