,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_ms
76084,2009-09-03 15:00:00,43.3913,-72.0576,loon,1.0,22.32,edi.499.2,9,1251990000000.0
76085,2009-09-03 15:10:00,43.3913,-72.0576,loon,1.0,22.45,edi.499.2,9,1251990600000.0
76086,2009-09-03 15:20:00,43.3913,-72.0576,loon,1.0,22.49,edi.499.2,9,1251991200000.0
76087,2009-09-03 15:30:00,43.3913,-72.0576,loon,1.0,22.68,edi.499.2,9,1251991800000.0
76088,2009-09-03 15:40:00,43.3913,-72.0576,loon,1.0,22.51,edi.499.2,9,1251992400000.0
76089,2009-09-03 15:50:00,43.3913,-72.0576,loon,1.0,22.59,edi.499.2,9,1251993000000.0
379853,2009-09-03 15:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.5,20.64,edi.498.1,9,1251990000000.0
379854,2009-09-03 15:30:00,43.3948,-72.079,NorthSunapeeHarbor,1.5,20.81,edi.498.1,9,1251991800000.0
414648,2009-09-03 15:00:00,43.3446,-72.0438,SouthOfTheFells,1.5,20.96,edi.498.1,9,1251990000000.0
414649,2009-09-03 15:30:00,43.3446,-72.0438,SouthOfTheFells,1.5,21.130000000000006,edi.498.1,9,1251991800000.0
449443,2009-09-03 15:00:00,43.3235,-72.0411,Newbury,1.5,21.33,edi.498.1,9,1251990000000.0
449444,2009-09-03 15:30:00,43.3235,-72.0411,Newbury,1.5,21.49,edi.498.1,9,1251991800000.0
484238,2009-09-03 15:00:00,43.4096,-72.0365,HerrickCoveSouth,1.5,21.17,edi.498.1,9,1251990000000.0
484239,2009-09-03 15:30:00,43.4096,-72.0365,HerrickCoveSouth,1.5,21.17,edi.498.1,9,1251991800000.0
