"","collection","filter","month","variable","All missions","LS 5","LS 7","LS 8"
"1","1","none","All data","n_obs",125,25,62,38
"2","2","cloud","All data","n_obs",88,18,46,24
"3","2","freeze","All data","n_obs",106,23,53,30
"4","2","IQR","All data","n_obs",102,22,52,28
"5","2","none","All data","n_obs",111,23,55,33
"6","2","range","All data","n_obs",54,12,23,19
"7","1","none","All data","mae",0.92,1.03,0.8,1.05
"8","2","cloud","All data","mae",0.55,0.62,0.48,0.65
"9","2","freeze","All data","mae",0.7,0.95,0.57,0.75
"10","2","IQR","All data","mae",0.61,0.71,0.55,0.65
"11","2","none","All data","mae",0.73,0.97,0.62,0.75
"12","2","range","All data","mae",0.54,0.73,0.49,0.48
"13","1","none","All data","rmse",1.29,1.44,1.15,1.38
"14","2","cloud","All data","rmse",0.73,0.77,0.66,0.82
"15","2","freeze","All data","rmse",1.13,1.56,0.91,1.07
"16","2","IQR","All data","rmse",0.92,0.93,0.9,0.94
"17","2","none","All data","rmse",1.13,1.56,0.93,1.08
"18","2","range","All data","rmse",0.88,0.92,0.89,0.84
"19","1","none","All data","mse",1.66,2.08,1.33,1.91
"20","2","cloud","All data","mse",0.53,0.59,0.44,0.67
"21","2","freeze","All data","mse",1.27,2.42,0.83,1.15
"22","2","IQR","All data","mse",0.84,0.86,0.81,0.88
"23","2","none","All data","mse",1.28,2.42,0.87,1.17
"24","2","range","All data","mse",0.77,0.84,0.79,0.7
"25","1","none","All data","bias",0,-0.2,0.08,-0.01
"26","2","cloud","All data","bias",0,-0.12,0.08,-0.07
"27","2","freeze","All data","bias",0,-0.21,0.17,-0.15
"28","2","IQR","All data","bias",0,-0.04,0.07,-0.1
"29","2","none","All data","bias",0,-0.17,0.19,-0.21
"30","2","range","All data","bias",0,-0.04,0.05,-0.03
"31","1","none","05","n_obs",16,3,9,4
"32","2","cloud","05","n_obs",12,1,9,2
"33","2","freeze","05","n_obs",13,2,9,2
"34","2","IQR","05","n_obs",12,2,8,2
"35","2","none","05","n_obs",14,2,9,3
"36","1","none","05","mae",1.4,1.77,1.27,1.4
"37","2","cloud","05","mae",0.96,0.98,0.85,1.43
"38","2","freeze","05","mae",1.2,1.62,1,1.67
"39","2","IQR","05","mae",1.17,1.54,0.97,1.59
"40","2","none","05","mae",1.21,1.72,1.07,1.29
"41","1","none","05","rmse",1.67,1.82,1.57,1.77
"42","2","cloud","05","rmse",1.17,0.98,1.12,1.44
"43","2","freeze","05","rmse",1.42,1.65,1.3,1.69
"44","2","IQR","05","rmse",1.4,1.57,1.3,1.6
"45","2","none","05","rmse",1.46,1.74,1.39,1.46
"46","1","none","05","bias",1.32,1.77,1.27,1.1
"47","2","cloud","05","bias",0.74,0.98,0.56,1.43
"48","2","freeze","05","bias",1.1,1.62,0.85,1.67
"49","2","IQR","05","bias",1.03,1.54,0.76,1.59
"50","2","none","05","bias",1.09,1.72,0.96,1.05
"51","1","none","06","n_obs",15,4,6,5
"52","2","cloud","06","n_obs",10,4,3,3
"53","2","freeze","06","n_obs",11,4,4,3
"54","2","IQR","06","n_obs",11,4,4,3
"55","2","none","06","n_obs",11,4,4,3
"56","1","none","06","mae",0.86,0.54,0.85,1.13
"57","2","cloud","06","mae",0.57,0.56,0.47,0.69
"58","2","freeze","06","mae",0.7,0.57,0.76,0.77
"59","2","IQR","06","mae",0.62,0.55,0.66,0.67
"60","2","none","06","mae",0.69,0.56,0.77,0.76
"61","1","none","06","rmse",0.96,0.58,0.9,1.25
"62","2","cloud","06","rmse",0.7,0.71,0.68,0.7
"63","2","freeze","06","rmse",0.81,0.69,0.94,0.78
"64","2","IQR","06","rmse",0.75,0.69,0.87,0.68
"65","2","none","06","rmse",0.82,0.68,0.96,0.77
"66","1","none","06","bias",0.53,0.21,0.23,1.13
"67","2","cloud","06","bias",0.34,-0.03,0.47,0.69
"68","2","freeze","06","bias",0.51,0.07,0.76,0.77
"69","2","IQR","06","bias",0.41,-0.03,0.66,0.67
"70","2","none","06","bias",0.51,0.07,0.77,0.76
"71","1","none","07","n_obs",17,2,6,9
"72","2","cloud","07","n_obs",14,2,6,6
"73","2","freeze","07","n_obs",16,2,6,8
"74","2","IQR","07","n_obs",16,2,6,8
"75","2","none","07","n_obs",16,2,6,8
"76","2","range","07","n_obs",8,1,1,6
"77","1","none","07","mae",0.71,0.76,0.18,1.06
"78","2","cloud","07","mae",0.45,0.76,0.45,0.34
"79","2","freeze","07","mae",0.48,0.78,0.46,0.43
"80","2","IQR","07","mae",0.46,0.78,0.42,0.4
"81","2","none","07","mae",0.48,0.79,0.44,0.43
"82","2","range","07","mae",0.51,0.8,0.16,0.52
"83","1","none","07","rmse",1.25,0.76,0.22,1.68
"84","2","cloud","07","rmse",0.55,0.79,0.6,0.35
"85","2","freeze","07","rmse",0.57,0.79,0.6,0.49
"86","2","IQR","07","rmse",0.56,0.82,0.56,0.46
"87","2","none","07","rmse",0.57,0.81,0.58,0.48
"88","2","range","07","rmse",0.58,0.8,0.17,0.59
"89","1","none","07","bias",-0.18,-0.03,0.16,-0.45
"90","2","cloud","07","bias",0.14,-0.18,0.29,0.09
"91","2","freeze","07","bias",0.18,-0.12,0.3,0.17
"92","2","IQR","07","bias",0.07,-0.23,0.19,0.06
"93","2","none","07","bias",0.13,-0.14,0.24,0.12
"94","2","range","07","bias",0.15,-0.8,-0.16,0.36
"95","1","none","08","n_obs",15,3,9,3
"96","2","cloud","08","n_obs",12,1,8,3
"97","2","freeze","08","n_obs",14,3,8,3
"98","2","IQR","08","n_obs",13,3,8,2
"99","2","none","08","n_obs",14,3,8,3
"100","2","range","08","n_obs",5,1,3,1
"101","1","none","08","mae",0.86,1.25,0.66,1.1
"102","2","cloud","08","mae",0.52,0.43,0.32,1.1
"103","2","freeze","08","mae",0.63,1.01,0.33,1.07
"104","2","IQR","08","mae",0.48,0.98,0.31,0.42
"105","2","none","08","mae",0.62,0.99,0.32,1.07
"106","2","range","08","mae",0.64,1.98,0.2,0.62
"107","1","none","08","rmse",1.17,1.6,0.93,1.3
"108","2","cloud","08","rmse",0.8,0.42,0.37,1.45
"109","2","freeze","08","rmse",0.93,1.28,0.37,1.42
"110","2","IQR","08","rmse",0.73,1.32,0.36,0.59
"111","2","none","08","rmse",0.93,1.28,0.36,1.44
"112","2","range","08","rmse",0.95,1.98,0.26,0.62
"113","1","none","08","bias",-0.34,-0.9,0.1,-1.1
"114","2","cloud","08","bias",-0.16,0.43,0.08,-1.02
"115","2","freeze","08","bias",-0.23,-0.4,0.11,-0.99
"116","2","IQR","08","bias",-0.18,-0.51,0,-0.41
"117","2","none","08","bias",-0.27,-0.42,0.07,-1.02
"118","2","range","08","bias",-0.56,-1.98,-0.07,-0.62
"119","1","none","09","n_obs",23,6,11,6
"120","2","cloud","09","n_obs",16,4,9,3
"121","2","freeze","09","n_obs",21,5,11,5
"122","2","IQR","09","n_obs",19,4,11,4
"123","2","none","09","n_obs",21,5,11,5
"124","2","range","09","n_obs",13,4,5,4
"125","1","none","09","mae",0.95,1.63,0.55,1
"126","2","cloud","09","mae",0.53,0.83,0.44,0.41
"127","2","freeze","09","mae",0.87,1.8,0.52,0.72
"128","2","IQR","09","mae",0.57,0.78,0.55,0.42
"129","2","none","09","mae",0.87,1.77,0.53,0.7
"130","2","range","09","mae",0.4,0.7,0.24,0.31
"131","1","none","09","rmse",1.4,2.24,0.74,1.22
"132","2","cloud","09","rmse",0.69,1.04,0.55,0.44
"133","2","freeze","09","rmse",1.54,2.84,0.61,1.02
"134","2","IQR","09","rmse",0.71,1,0.65,0.46
"135","2","none","09","rmse",1.53,2.82,0.62,1
"136","2","range","09","rmse",0.61,0.92,0.32,0.5
"137","1","none","09","bias",-0.45,-1.22,-0.23,-0.07
"138","2","cloud","09","bias",-0.29,-0.42,-0.33,0.01
"139","2","freeze","09","bias",-0.53,-1.44,-0.18,-0.4
"140","2","IQR","09","bias",-0.26,-0.38,-0.28,-0.07
"141","2","none","09","bias",-0.52,-1.41,-0.19,-0.37
"142","2","range","09","bias",0.01,-0.11,-0.06,0.2
"143","1","none","10","n_obs",20,5,9,6
"144","2","cloud","10","n_obs",13,4,6,3
"145","2","freeze","10","n_obs",19,5,9,5
"146","2","IQR","10","n_obs",19,5,9,5
"147","2","none","10","n_obs",20,5,9,6
"148","2","range","10","n_obs",17,4,9,4
"149","1","none","10","mae",0.71,0.45,0.56,1.16
"150","2","cloud","10","mae",0.39,0.56,0.29,0.36
"151","2","freeze","10","mae",0.49,0.46,0.22,1.01
"152","2","IQR","10","mae",0.51,0.47,0.21,1.09
"153","2","none","10","mae",0.54,0.49,0.3,0.95
"154","2","range","10","mae",0.56,0.53,0.44,0.87
"155","1","none","10","rmse",0.88,0.54,0.71,1.28
"156","2","cloud","10","rmse",0.46,0.66,0.3,0.37
"157","2","freeze","10","rmse",0.91,0.55,0.32,1.63
"158","2","IQR","10","rmse",0.93,0.56,0.28,1.68
"159","2","none","10","rmse",0.89,0.56,0.39,1.47
"160","2","range","10","rmse",0.89,0.62,0.52,1.55
"161","1","none","10","bias",0.03,-0.19,0.48,-0.46
"162","2","cloud","10","bias",-0.19,-0.26,-0.06,-0.36
"163","2","freeze","10","bias",-0.18,0,0.19,-1.01
"164","2","IQR","10","bias",-0.26,-0.09,0.11,-1.09
"165","2","none","10","bias",-0.13,0.08,0.28,-0.92
"166","2","range","10","bias",0.17,0.43,0.44,-0.69
"167","1","none","11","n_obs",19,2,12,5
"168","2","cloud","11","n_obs",11,2,5,4
"169","2","freeze","11","n_obs",12,2,6,4
"170","2","IQR","11","n_obs",12,2,6,4
"171","2","none","11","n_obs",15,2,8,5
"172","2","range","11","n_obs",11,2,5,4
"173","1","none","11","mae",1,0.48,1.25,0.6
"174","2","cloud","11","mae",0.5,0.22,0.4,0.76
"175","2","freeze","11","mae",0.58,0.17,0.86,0.37
"176","2","IQR","11","mae",0.62,0.17,0.88,0.44
"177","2","none","11","mae",0.73,0.33,0.93,0.57
