"date","LSmission","month","doy","temp_avg","t_stdev","depth_avg","d_stdev","temp_med","insitu_count","HerrickCoveSouth_median","HerrickCoveSouth_mean","HerrickCoveSouth_std","HerrickCoveSouth_count","Newbury_median","Newbury_mean","Newbury_std","Newbury_count","NorthSunapeeHarbor_median","NorthSunapeeHarbor_mean","NorthSunapeeHarbor_std","NorthSunapeeHarbor_count","SouthOfTheFells_median","SouthOfTheFells_mean","SouthOfTheFells_std","SouthOfTheFells_count","loon_median","loon_mean","loon_std","loon_count","harbor_median","harbor_mean","harbor_std","harbor_count","GeorgesMills_median","GeorgesMills_mean","GeorgesMills_std","GeorgesMills_count","HerrickCove_median","HerrickCove_mean","HerrickCove_std","HerrickCove_count","StateBeach_median","StateBeach_mean","StateBeach_std","StateBeach_count","system:index","cloud_cover","earthsun_d","l_exceltime","pixel_count","sunazi","sunelev","surface_temp_max","surface_temp_mean","surface_temp_median","surface_temp_min","surface_temp_p25","surface_temp_p75","surface_temp_skew","surface_temp_stdDev","vapor_source",".geo","collection","freeze_QAQC","temp_spread","spread_QAQC","IQR","IQR_QAQC"
2006-09-11,"LS 5","09","254",18.93,NA,1.5,NA,18.93,1,18.93,18.93,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_1_2_1_LT05_013030_20060911",3,1.0066447,38971.6434978935,16780,149.88598224,47.44752268,21.77894588,15.7130467446198,15.8400243466831,11.92479422,15.1543309219692,16.3673787112223,-0.11512031242747,0.885142485877284,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",9.9,"P",1.2,"P"
2007-07-12,"LS 5","07","193",21.07,0.661110177403637,1.5,0,20.9,4,22.01,22.01,NA,1,20.83,20.83,NA,1,20.97,20.97,NA,1,20.47,20.47,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_1_2_1_LT05_013030_20070712",15,1.0165832,39275.6434687847,9759,131.99929322,61.91173813,31.85526884,21.3595172121846,21.3505730482346,19.0035136400001,20.7664191133427,21.9546182432435,1.51189479819857,1.04506361808772,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",12.9,"F",1.2,"P"
2007-08-05,"LS 7","08","217",24.9225,0.579676633995197,1.5,0,24.97,4,25.42,25.42,NA,1,25.42,25.42,NA,1,24.52,24.52,NA,1,24.33,24.33,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_2_1_LE07_013030_20070805",0,1.0144331,39299.6409673148,14640,135.72512738,57.13146774,30.17702102,24.6077605441772,24.6545362344696,21.9190847,24.3131310733324,24.6545362344696,2.78032554069089,0.496133167803243,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",8.3,"P",0.399999999999999,"P"
2007-08-13,"LS 5","08","225",23.7525,0.377392368762275,1.5,0,23.745,4,24.21,24.21,NA,1,23.85,23.85,NA,1,23.31,23.31,NA,1,23.64,23.64,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_1_2_1_LT05_013030_20070813",49,1.0131619,39307.6432451389,13639,139.75161244,55.7917812,32.1218744,24.0020530755992,24.0171336795249,21.72083954,23.3946792113692,24.1562896923968,2.11008422673069,0.851335699986476,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",10.4,"F",0.800000000000001,"P"
2007-09-14,"LS 5","09","257",19.643,0.200779038303858,0.9,0.516397779494322,19.75,10,19.71,19.71,NA,1,19.37,19.37,NA,1,19.67,19.67,NA,1,19.18,19.18,NA,1,19.75,19.75,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_1_2_1_LT05_013030_20070914",30,1.0059195,39339.643047419,17132,150.54677068,46.49819316,25.49433362,19.332277956595,19.1325947991996,18.38485202,18.9895812414676,19.7348788455646,2.57021563529923,0.533740215041523,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",7.1,"P",0.699999999999999,"P"
2007-11-25,"LS 7","11","329",5.96,0.0489897948556632,0.583333333333333,0.204124145231932,5.94,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.94,5.96,0.0489897948556632,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_2_1_LE07_013030_20071125",37,0.9871101,39411.6410390278,14923,161.08497004,23.81064777,6.22353686000002,4.19105860285017,4.45033918897747,0.34796048000004,4.08306292178528,4.45033918897747,-1.47272266912325,0.575691271868534,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",5.9,"P",0.4,"P"
2008-05-11,"LS 5","05","132",10.1283333333333,0.0904249228181407,0.5,0,10.09,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.09,10.1283333333333,0.09042492281814,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_1_2_1_LT05_013030_20080511",0,1.0101572,39579.6399402778,17134,137.91458057,59.17399627,23.63151272,11.2810293066571,10.8035114610529,9.00580514000001,10.2535427546453,11.7454900693048,2.1319844680883,1.71948994707879,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",14.6,"F",1.4,"P"
2008-06-12,"LS 5","06","164",20.35,0.041952353926806,0.5,0,20.35,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.35,20.35,0.0419523539268061,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_1_2_1_LT05_013030_20080612",1,1.015551,39611.6393478125,17134,130.20899042,62.82824199,28.5158633,20.5223902791813,20.3268142345238,16.7578745,19.7988393048633,21.4594188713396,0.0378157630919687,1.30740669024905,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",11.7,"F",1.7,"P"
2008-07-06,"LS 7","07","188",23.437,0.786201133439924,0.9,0.516397779494322,23.91,10,23.34,23.34,NA,1,21.99,21.99,NA,1,23.14,23.14,NA,1,22.13,22.13,NA,1,23.975,23.9616666666667,0.0483390801181266,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_2_1_LE07_013030_20080706",27,1.0166967,39635.6405555903,14068,129.5362263,61.85412354,33.29083724,25.0998335068988,25.1623090513382,21.88832252,24.7637388438312,25.5762712064074,2.07727035011859,1.02054146621052,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",11.4,"F",0.800000000000001,"P"
2008-08-15,"LS 5","08","228",21.9,0.134494940012212,0.9,0.516397779494322,21.925,10,21.84,21.84,NA,1,22.16,22.16,NA,1,21.8,21.8,NA,1,21.63,21.63,NA,1,21.94,21.9283333333333,0.0278687399547707,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_1_2_1_LT05_013030_20080815",70,1.0126687,39675.6380559144,4671,137.85106299,54.17313488,24.25359236,18.3779226850354,18.3673702119038,14.93606984,17.6912854887569,19.0171188793454,-0.0793536941398261,1.17477558115071,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",9.4,"P",1.3,"P"
