date,LSmission,month,doy,temp_avg,t_stdev,depth_avg,d_stdev,temp_med,insitu_count,HerrickCoveSouth_median,HerrickCoveSouth_mean,HerrickCoveSouth_std,HerrickCoveSouth_count,Newbury_median,Newbury_mean,Newbury_std,Newbury_count,NorthSunapeeHarbor_median,NorthSunapeeHarbor_mean,NorthSunapeeHarbor_std,NorthSunapeeHarbor_count,SouthOfTheFells_median,SouthOfTheFells_mean,SouthOfTheFells_std,SouthOfTheFells_count,loon_median,loon_mean,loon_std,system:index,cloud_cover,earthsun_d,l_exceltime,pixel_count,sunazi,sunelev,surface_temp_max,surface_temp_mean,surface_temp_median,surface_temp_min,surface_temp_p25,surface_temp_p75,surface_temp_skew,surface_temp_stdDev,vapor_source,.geo,collection
2006-09-11,LS 5,09,254,18.93,NA,1.5,NA,18.93,1,18.93,18.93,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1_1_2_1_LT05_013030_20060911,3,1.0066447,38971.643497893514,16780,149.88598224,47.44752268,21.778945880000038,15.713046744619792,15.84002434668307,11.924794220000024,15.15433092196925,16.36737871122234,-0.11512031242746955,0.885142485877284,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}",2
2007-07-12,LS 5,07,193,21.07,0.6611101774036371,1.5,0,20.9,4,22.01,22.01,NA,1,20.83,20.83,NA,1,20.97,20.97,NA,1,20.47,20.47,NA,1,NA,NA,NA,1_1_2_1_LT05_013030_20070712,15,1.0165832,39275.64346878472,9759,131.99929322,61.91173813,31.855268840000008,21.359517212184553,21.350573048234644,19.00351364000005,20.766419113342728,21.95461824324346,1.5118947981985669,1.0450636180877164,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}",2
2007-08-05,LS 7,08,217,24.9225,0.5796766339951972,1.5,0,24.97,4,25.42,25.42,NA,1,25.42,25.42,NA,1,24.52,24.52,NA,1,24.33,24.33,NA,1,NA,NA,NA,1_2_1_LE07_013030_20070805,0,1.0144331,39299.640967314815,14640,135.72512738,57.13146774,30.177021019999984,24.607760544177182,24.654536234469635,21.919084699999985,24.313131073332386,24.654536234469635,2.7803255406908867,0.49613316780324285,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}",2
2007-08-13,LS 5,08,225,23.752500000000005,0.37739236876227467,1.5,0,23.745,4,24.21,24.21,NA,1,23.85,23.85,NA,1,23.31,23.31,NA,1,23.64,23.64,NA,1,NA,NA,NA,1_1_2_1_LT05_013030_20070813,49,1.0131619,39307.64324513889,13639,139.75161244,55.7917812,32.121874400000024,24.002053075599225,24.017133679524903,21.720839540000043,23.394679211369183,24.156289692396822,2.1100842267306903,0.8513356999864755,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}",2
2007-09-14,LS 5,09,257,19.643000000000004,0.20077903830385835,0.9,0.5163977794943222,19.75,10,19.71,19.71,NA,1,19.37,19.37,NA,1,19.67,19.67,NA,1,19.18,19.18,NA,1,19.75,19.75,0,1_1_2_1_LT05_013030_20070914,30,1.0059195,39339.643047418984,17132,150.54677068,46.49819316,25.49433362000002,19.332277956595032,19.13259479919956,18.38485202000004,18.98958124146761,19.73487884556461,2.570215635299232,0.5337402150415235,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}",2
2007-11-25,LS 7,11,329,5.96,0.048989794855663245,0.5833333333333334,0.2041241452319315,5.94,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.94,5.96,0.04898979485566324,1_2_1_LE07_013030_20071125,37,0.9871101,39411.641039027774,14923,161.08497004,23.81064777,6.223536860000024,4.1910586028501715,4.450339188977465,0.3479604800000402,4.083062921785276,4.450339188977465,-1.4727226691232496,0.5756912718685342,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}",2
2008-05-11,LS 5,05,132,10.128333333333332,0.0904249228181407,0.5,0,10.09,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.09,10.128333333333332,0.09042492281813998,1_1_2_1_LT05_013030_20080511,0,1.0101572,39579.639940277775,17134,137.91458057,59.17399627,23.631512720000046,11.281029306657139,10.803511461052928,9.005805140000007,10.253542754645345,11.745490069304788,2.131984468088303,1.7194899470787932,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}",2
2008-06-12,LS 5,06,164,20.349999999999998,0.04195235392680601,0.5,0,20.35,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.35,20.349999999999998,0.04195235392680607,1_1_2_1_LT05_013030_20080612,1,1.015551,39611.6393478125,17134,130.20899042,62.82824199,28.515863299999978,20.52239027918132,20.326814234523845,16.757874500000014,19.798839304863257,21.459418871339565,0.03781576309196869,1.3074066902490482,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}",2
2008-07-06,LS 7,07,188,23.436999999999998,0.7862011334399238,0.9,0.5163977794943222,23.91,10,23.34,23.34,NA,1,21.99,21.99,NA,1,23.14,23.14,NA,1,22.130000000000006,22.130000000000006,NA,1,23.975,23.961666666666662,0.04833908011812664,1_2_1_LE07_013030_20080706,27,1.0166967,39635.640555590275,14068,129.5362263,61.85412354,33.29083724000003,25.09983350689883,25.162309051338212,21.88832252000003,24.763738843831202,25.576271206407384,2.077270350118587,1.0205414662105203,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}",2
2008-08-15,LS 5,08,228,21.9,0.1344949400122121,0.9,0.5163977794943222,21.925,10,21.84,21.84,NA,1,22.16,22.16,NA,1,21.8,21.8,NA,1,21.630000000000006,21.630000000000006,NA,1,21.94,21.92833333333333,0.027868739954770707,1_1_2_1_LT05_013030_20080815,70,1.0126687,39675.63805591435,4671,137.85106299,54.17313488,24.253592360000027,18.377922685035397,18.367370211903776,14.936069840000016,17.691285488756854,19.017118879345443,-0.07935369413982613,1.1747755811507077,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}",2
2008-08-23,LS 7,08,236,22.362000000000002,0.5839292194550062,0.9,0.5163977794943222,22.665,10,22.51,22.51,NA,1,21.49,21.49,NA,1,21.47,21.47,NA,1,21.630000000000006,21.630000000000006,NA,1,22.75,22.753333333333334,0.0850098033562397,1_2_1_LE07_013030_20080823,6,1.0110754,39683.6402728125,14850,141.63443424,52.39040003,32.53887284000001,22.851083644699155,22.68403934117614,21.44397992000006,22.275106787395302,23.089894331282327,2.828297797757015,0.8501967444518326,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}",2
2008-08-31,LS 5,08,244,21.261,0.33972047333064764,0.9,0.5163977794943222,21.195,10,22.01,22.01,NA,1,21.49,21.49,NA,1,21.3,21.3,NA,1,20.630000000000006,20.630000000000006,NA,1,21.19,21.196666666666665,0.012110601416388653,1_1_2_1_LT05_013030_20080831,6,1.0092744,39691.63776240741,12726,143.34253844,49.79288004,29.756604560000028,21.489711726319157,21.43477451403606,18.873628880000012,21.29247327856836,21.892221104175217,2.4365770603584855,0.7054802697888461,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}",2
2008-09-08,LS 7,09,252,21.326999999999998,0.2243533918719418,0.9,0.5163977794943222,21.354999999999997,10,21.51,21.51,NA,1,21.33,21.33,NA,1,21.630000000000006,21.630000000000006,NA,1,20.79,20.79,NA,1,21.325,21.334999999999997,0.08826097665446606,1_2_1_LE07_013030_20080908,12,1.0072977,39699.64018194444,9465,147.18656929,47.67072441,26.36251070000003,20.60049837987965,20.694980564736447,17.619215540000027,20.32532514553445,20.71276302194605,1.4464437807916175,0.528706854954515,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}",2
2008-10-10,LS 7,10,284,14.819999999999999,0.040000000000000036,0.5,0,14.8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8,14.819999999999999,0.0400000000000002,1_2_1_LE07_013030_20081010,0,0.9983859,39731.63992068287,15002,156.32908491,36.99332606,20.199820639999984,14.906417045763968,14.700268415304464,13.972188200000005,14.686651846923247,15.037006671512405,3.4794198690799534,0.4924369752633056,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}",2
2008-10-18,LS 5,10,292,13.899999999999999,0.024494897427831838,0.5,0,13.905000000000001,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.905000000000001,13.899999999999999,0.02449489742783128,1_1_2_1_LT05_013030_20081018,9,0.9961141,39739.63672819444,16020,156.56749226,33.98145804,15.253945700000031,11.357089673022388,11.842444585704508,4.470092600000044,10.783101305404507,12.367790909235797,-1.3986457803761003,1.6218924017112883,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}",2
2008-10-26,LS 7,10,300,12.058333333333335,0.19187669651801734,0.6666666666666666,0.408248290463863,11.98,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.98,12.058333333333335,0.1918766965180173,1_2_1_LE07_013030_20081026,3,0.9939112,39747.640112071764,14882,159.20371333,31.67713164,16.81256282000004,11.951301225192378,11.91385165815991,10.461881660000017,11.895036691567274,11.91385165815991,3.454385648396508,0.4424391508156257,NCEP,"{""type"":""MultiPoint"",""coordinates"":[]}",2
