"year","HerrickCoveSouth_min_depth_m","HerrickCoveSouth_max_depth_m","HerrickCoveSouth_min_month","HerrickCoveSouth_max_month","loon_min_depth_m","loon_max_depth_m","loon_min_month","loon_max_month","Newbury_min_depth_m","Newbury_max_depth_m","Newbury_min_month","Newbury_max_month","NorthSunapeeHarbor_min_depth_m","NorthSunapeeHarbor_max_depth_m","NorthSunapeeHarbor_min_month","NorthSunapeeHarbor_max_month","SouthOfTheFells_min_depth_m","SouthOfTheFells_max_depth_m","SouthOfTheFells_min_month","SouthOfTheFells_max_month","harbor_min_depth_m","harbor_max_depth_m","harbor_min_month","harbor_max_month","GeorgesMills_min_depth_m","GeorgesMills_max_depth_m","GeorgesMills_min_month","GeorgesMills_max_month","HerrickCove_min_depth_m","HerrickCove_max_depth_m","HerrickCove_min_month","HerrickCove_max_month","StateBeach_min_depth_m","StateBeach_max_depth_m","StateBeach_min_month","StateBeach_max_month"
"2006",1.5,1.5,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2007",1.5,1.5,6,9,0.5,1.5,8,10,1.5,1.5,6,9,1.5,1.5,6,9,1.5,1.5,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2008",1.5,1.5,6,9,0.5,1.5,5,10,1.5,1.5,6,9,1.5,1.5,6,9,1.5,1.5,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009",1.5,1.5,5,9,1,1.5,7,10,1.5,1.5,5,9,1.5,1.5,5,9,1.5,1.5,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010",1.5,1.5,5,9,1,1.5,5,10,1.5,1.5,5,9,1.5,1.5,5,9,1.5,1.5,5,9,1.5,1.5,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011",1.9,1.9,6,9,0.5,1.5,5,10,1.5,1.5,6,9,1.4,1.4,6,9,1.4,1.4,6,9,1.5,1.5,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2012",1.2,1.2,5,9,0.5,1.5,5,10,1.2,1.2,5,9,1.5,1.5,5,9,1.3,1.3,5,9,1.5,1.5,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013",1.6,1.6,5,9,0.5,1.5,5,10,1.4,1.4,5,9,1.4,1.4,5,9,1.5,1.5,5,9,1.5,1.5,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014",1.5,1.5,5,9,0.5,1.5,6,10,1.4,1.4,5,9,1.2,1.2,5,9,1.4,1.4,5,9,1.5,1.5,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015",1.4,1.4,6,9,0.5,1.5,5,10,1.5,1.5,6,9,1.4,1.4,6,9,1.4,1.4,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016",1.7,1.7,5,9,1.5,1.5,5,10,1.4,1.4,5,9,1.5,1.5,5,9,1.6,1.6,5,9,1.5,1.5,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2017",1.5,1.5,6,9,1.5,1.5,5,10,1.5,1.5,6,9,1.4,1.4,6,9,1.8,1.8,6,9,1.5,1.5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018",1.9,1.9,6,9,0.25,1.5,5,10,1.6,1.6,6,9,1.6,1.6,6,9,1.6,1.6,6,9,NA,NA,NA,NA,0.1,0.5,6,10,0.1,1,6,10,0.1,0.1,6,10
"2019",NA,NA,NA,NA,1.5,1.5,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020",NA,NA,NA,NA,1.5,1.5,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,0.75,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
