,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,frequency,month,datetime_ms
309640,2018-08-19 10:10:00,43.3913,-72.0576,loon,0.85,23.93,edi.499.2,sub-daily,8,1534691400000.0
309641,2018-08-19 10:15:00,43.3913,-72.0576,loon,0.25,23.86,edi.499.2,sub-daily,8,1534691700000.0
309642,2018-08-19 10:30:00,43.3913,-72.0576,loon,0.25,23.84,edi.499.2,sub-daily,8,1534692600000.0
309643,2018-08-19 10:45:00,43.3913,-72.0576,loon,0.25,23.84,edi.499.2,sub-daily,8,1534693500000.0
309644,2018-08-19 10:50:00,43.3913,-72.0576,loon,0.85,23.959999999999994,edi.499.2,sub-daily,8,1534693800000.0
309645,2018-08-19 11:00:00,43.3913,-72.0576,loon,0.25,23.84,edi.499.2,sub-daily,8,1534694400000.0
539833,2018-08-19 10:10:00,43.4288,-72.0675,GeorgesMills,0.5,23.87,edi.395.1,sub-daily,8,1534691400000.0
539834,2018-08-19 10:10:00,43.4096,-72.033,HerrickCove,1.0,24.25,edi.395.1,sub-daily,8,1534691400000.0
539835,2018-08-19 10:10:00,43.3436,-72.0595,StateBeach,0.1,23.87,edi.395.1,sub-daily,8,1534691400000.0
539836,2018-08-19 10:20:00,43.4288,-72.0675,GeorgesMills,0.5,23.87,edi.395.1,sub-daily,8,1534692000000.0
539837,2018-08-19 10:20:00,43.4096,-72.033,HerrickCove,1.0,24.25,edi.395.1,sub-daily,8,1534692000000.0
539838,2018-08-19 10:20:00,43.3436,-72.0595,StateBeach,0.1,23.87,edi.395.1,sub-daily,8,1534692000000.0
539839,2018-08-19 10:30:00,43.4288,-72.0675,GeorgesMills,0.5,23.77,edi.395.1,sub-daily,8,1534692600000.0
539840,2018-08-19 10:30:00,43.4096,-72.033,HerrickCove,1.0,24.25,edi.395.1,sub-daily,8,1534692600000.0
539841,2018-08-19 10:30:00,43.3436,-72.0595,StateBeach,0.1,23.87,edi.395.1,sub-daily,8,1534692600000.0
539842,2018-08-19 10:40:00,43.4288,-72.0675,GeorgesMills,0.5,23.87,edi.395.1,sub-daily,8,1534693200000.0
539843,2018-08-19 10:40:00,43.4096,-72.033,HerrickCove,1.0,24.25,edi.395.1,sub-daily,8,1534693200000.0
539844,2018-08-19 10:40:00,43.3436,-72.0595,StateBeach,0.1,23.87,edi.395.1,sub-daily,8,1534693200000.0
539845,2018-08-19 10:50:00,43.4288,-72.0675,GeorgesMills,0.5,23.77,edi.395.1,sub-daily,8,1534693800000.0
539846,2018-08-19 10:50:00,43.4096,-72.033,HerrickCove,1.0,24.25,edi.395.1,sub-daily,8,1534693800000.0
539847,2018-08-19 10:50:00,43.3436,-72.0595,StateBeach,0.1,23.87,edi.395.1,sub-daily,8,1534693800000.0
539848,2018-08-19 11:00:00,43.4288,-72.0675,GeorgesMills,0.5,23.87,edi.395.1,sub-daily,8,1534694400000.0
539849,2018-08-19 11:00:00,43.4096,-72.033,HerrickCove,1.0,24.25,edi.395.1,sub-daily,8,1534694400000.0
539850,2018-08-19 11:00:00,43.3436,-72.0595,StateBeach,0.1,23.87,edi.395.1,sub-daily,8,1534694400000.0
