,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,frequency,month,datetime_ms
78358,2009-09-19 10:00:00,43.3913,-72.0576,loon,1.0,17.830000000000005,edi.499.2,sub-daily,9,1253372400000.0
78359,2009-09-19 10:10:00,43.3913,-72.0576,loon,1.0,17.82,edi.499.2,sub-daily,9,1253373000000.0
78360,2009-09-19 10:20:00,43.3913,-72.0576,loon,1.0,17.830000000000005,edi.499.2,sub-daily,9,1253373600000.0
78361,2009-09-19 10:30:00,43.3913,-72.0576,loon,1.0,17.830000000000005,edi.499.2,sub-daily,9,1253374200000.0
78362,2009-09-19 10:40:00,43.3913,-72.0576,loon,1.0,17.830000000000005,edi.499.2,sub-daily,9,1253374800000.0
78363,2009-09-19 10:50:00,43.3913,-72.0576,loon,1.0,17.82,edi.499.2,sub-daily,9,1253375400000.0
380611,2009-09-19 10:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.5,17.89,edi.498.1,sub-daily,9,1253372400000.0
380612,2009-09-19 10:30:00,43.3948,-72.079,NorthSunapeeHarbor,1.5,17.89,edi.498.1,sub-daily,9,1253374200000.0
415406,2009-09-19 10:00:00,43.3446,-72.0438,SouthOfTheFells,1.5,17.72,edi.498.1,sub-daily,9,1253372400000.0
415407,2009-09-19 10:30:00,43.3446,-72.0438,SouthOfTheFells,1.5,17.88,edi.498.1,sub-daily,9,1253374200000.0
450201,2009-09-19 10:00:00,43.3235,-72.0411,Newbury,1.5,17.75,edi.498.1,sub-daily,9,1253372400000.0
450202,2009-09-19 10:30:00,43.3235,-72.0411,Newbury,1.5,17.75,edi.498.1,sub-daily,9,1253374200000.0
484996,2009-09-19 10:00:00,43.4096,-72.0365,HerrickCoveSouth,1.5,17.93,edi.498.1,sub-daily,9,1253372400000.0
484997,2009-09-19 10:30:00,43.4096,-72.0365,HerrickCoveSouth,1.5,17.77,edi.498.1,sub-daily,9,1253374200000.0
