"year","min_depth_m_HerrickCoveSouth","max_depth_m_HerrickCoveSouth","min_month_HerrickCoveSouth","max_month_HerrickCoveSouth","min_depth_m_Newbury","max_depth_m_Newbury","min_month_Newbury","max_month_Newbury","min_depth_m_NorthSunapeeHarbor","max_depth_m_NorthSunapeeHarbor","min_month_NorthSunapeeHarbor","max_month_NorthSunapeeHarbor","min_depth_m_SouthOfTheFells","max_depth_m_SouthOfTheFells","min_month_SouthOfTheFells","max_month_SouthOfTheFells"
"2006",1.5,1.5,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2007",1.5,1.5,6,9,1.5,1.5,6,9,1.5,1.5,6,9,1.5,1.5,6,9
"2008",1.5,1.5,6,9,1.5,1.5,6,9,1.5,1.5,6,9,1.5,1.5,6,9
"2009",1.5,1.5,5,9,1.5,1.5,5,9,1.5,1.5,5,9,1.5,1.5,5,9
"2010",1.5,1.5,5,9,1.5,1.5,5,9,1.5,1.5,5,9,1.5,1.5,5,9
"2011",NA,NA,NA,NA,1.5,1.5,6,9,1.4,1.4,6,9,1.4,1.4,6,9
"2012",1.2,1.2,5,9,1.2,1.2,5,9,1.5,1.5,5,9,1.3,1.3,5,9
"2013",NA,NA,NA,NA,1.4,1.4,5,9,1.4,1.4,5,9,1.5,1.5,5,9
"2014",1.5,1.5,5,9,1.4,1.4,5,9,1.2,1.2,5,9,1.4,1.4,5,9
"2015",1.4,1.4,6,9,1.5,1.5,6,9,1.4,1.4,6,9,1.4,1.4,6,9
"2016",NA,NA,NA,NA,1.4,1.4,5,9,1.5,1.5,5,9,NA,NA,NA,NA
"2017",1.5,1.5,6,9,1.5,1.5,6,9,1.4,1.4,6,9,NA,NA,NA,NA
