"month","variable","All missions","LS 5","LS 7","LS 8"
"05","n_obs",13,2,8,3
"05","mae",1.15,1.09,1.13,1.26
"05","rmse",1.3,1.22,1.31,1.34
"05","bias",0.73,1.09,0.62,0.79
"06","n_obs",11,2,6,3
"06","mae",0.75,1.11,0.7,0.6
"06","rmse",0.86,1.18,0.82,0.65
"06","bias",0.75,1.11,0.7,0.6
"07","n_obs",24,4,12,8
"07","mae",0.41,0.38,0.49,0.31
"07","rmse",0.54,0.51,0.62,0.39
"07","bias",0.05,-0.31,0.21,-0.02
"08","n_obs",25,4,16,5
"08","mae",0.49,0.18,0.54,0.6
"08","rmse",0.58,0.2,0.63,0.62
"08","bias",-0.15,-0.07,-0.11,-0.33
"09","n_obs",27,4,16,7
"09","mae",0.67,0.6,0.69,0.68
"09","rmse",0.85,0.63,0.87,0.92
"09","bias",-0.22,0.02,-0.45,0.17
"10","n_obs",18,4,10,4
"10","mae",0.44,0.47,0.32,0.72
"10","rmse",0.54,0.54,0.33,0.85
"10","bias",-0.22,0.05,-0.13,-0.72
"11","n_obs",10,2,7,1
"11","mae",0.59,0.36,0.6,1
"11","rmse",0.8,0.41,0.85,1
"11","bias",-0.52,-0.2,-0.54,-1
