"collection","filter","variable","All missions","LS 5","LS 7","LS 8"
"1","none","n_obs",125,25,62,38
"1","none","mae",0.94,1.1,0.81,1.05
"1","none","rmse",1.31,1.48,1.19,1.38
"1","none","mse",1.72,2.18,1.41,1.9
"1","none","bias",0,-0.17,0.09,-0.04
"2","none","n_obs",157,29,86,42
"2","none","mae",0.86,1.08,0.85,0.72
"2","none","rmse",1.42,1.85,1.41,1.05
"2","none","mse",2.02,3.44,1.99,1.11
"2","none","bias",0,-0.18,0.07,-0.02
"2","kurtosis","n_obs",128,22,75,31
"2","kurtosis","mae",0.6,0.53,0.61,0.64
"2","kurtosis","rmse",0.77,0.68,0.79,0.79
"2","kurtosis","mse",0.6,0.46,0.63,0.63
"2","kurtosis","bias",0,0.12,-0.03,-0.01
