"collection","filter","variable","All missions","LS 5","LS 7","LS 8"
"1","none","n_obs",106,20,56,30
"1","none","mae",0.7,0.63,0.67,0.83
"1","none","rmse",0.99,0.8,1.02,1.07
"1","none","mse",0.99,0.64,1.04,1.15
"1","none","bias",0,-0.08,-0.02,0.09
"2","none","n_obs",148,26,84,38
"2","none","mae",0.79,0.85,0.82,0.69
"2","none","rmse",1.34,1.53,1.41,1.01
"2","none","mse",1.8,2.33,1.98,1.03
"2","none","bias",0,-0.02,-0.01,0.03
"2","kurtosis","n_obs",121,20,72,29
"2","kurtosis","mae",0.59,0.5,0.61,0.61
"2","kurtosis","rmse",0.75,0.65,0.77,0.76
"2","kurtosis","mse",0.56,0.42,0.59,0.58
"2","kurtosis","bias",0,0.14,-0.05,0.03
